t_s,strategy,phase,temp_c,sm_clk_mhz,power_w,work_done
0.0,B,run,55,1297,60.5,0
0.1,B,run,56,1297,260.9,0
0.21,B,run,59,1290,272.7,8
0.31,B,run,60,1267,271.2,16
0.41,B,run,61,1297,253.9,24
0.52,B,run,62,1290,272.5,32
0.62,B,run,63,1290,273.4,40
0.72,B,run,64,1290,270.0,52
0.83,B,run,64,1297,232.8,60
0.93,B,run,65,1290,254.2,68
1.04,B,run,65,1297,265.6,72
1.15,B,run,65,1297,244.2,84
1.32,B,run,67,1320,276.7,92
1.42,B,run,67,1275,273.7,100
1.53,B,run,68,1267,275.7,112
1.63,B,run,69,1252,243.3,120
1.73,B,run,69,1267,217.7,128
1.84,B,run,69,1267,269.9,136
1.94,B,run,70,1260,271.6,144
2.05,B,run,70,1267,270.1,152
2.16,B,run,71,1275,271.2,160
2.27,B,run,71,1297,270.7,168
2.37,B,run,72,1267,270.9,176
2.47,B,run,72,1297,266.6,184
2.58,B,run,72,1282,269.2,192
2.68,B,run,73,1297,264.2,200
2.78,B,run,73,1290,264.3,208
2.88,B,run,74,1312,279.2,216
2.99,B,run,74,1312,236.0,228
3.17,B,run,74,1267,272.2,236
3.27,B,run,75,1290,269.4,244
3.37,B,run,75,1305,208.6,256
3.5,B,run,75,1297,273.1,260
3.6,B,run,76,1275,239.8,272
3.71,B,run,76,1275,237.7,280
3.81,B,run,77,1275,243.2,288
3.91,B,run,76,1297,264.7,292
4.01,B,run,77,1267,270.0,300
4.12,B,run,77,1297,190.1,312
4.23,B,run,78,1290,243.9,320
4.34,B,run,78,1282,243.5,328
4.44,B,run,78,1297,267.6,332
4.54,B,run,78,1282,243.3,344
4.65,B,run,78,1297,261.2,352
4.81,B,run,79,1267,273.2,360
4.92,B,run,79,1282,273.5,372
5.03,B,run,79,1267,269.6,380
5.14,B,run,80,1290,268.0,388
5.24,B,run,80,1275,268.1,396
5.35,B,run,80,1290,268.9,404
5.45,B,run,80,1267,268.0,412
5.55,B,run,80,1290,270.3,420
5.66,B,run,81,1267,271.0,428
5.77,B,run,81,1290,270.2,436
5.88,B,run,81,1282,270.6,444
5.98,B,run,82,1290,272.3,452
6.08,B,cool,81,1297,127.2,460
6.19,B,cool,81,1342,258.1,464
6.29,B,cool,81,1417,133.2,472
6.4,B,cool,80,1372,255.5,476
6.5,B,cool,81,1372,145.7,484
6.6,B,cool,80,1485,247.0,488
6.71,B,cool,81,1387,185.1,496
6.81,B,cool,80,1395,239.4,500
6.91,B,cool,81,1342,215.2,508
7.02,B,cool,81,1342,194.4,512
7.12,B,cool,81,1455,270.8,516
7.23,B,cool,81,1417,150.4,524
7.33,B,cool,81,1410,265.8,528
7.43,B,cool,81,1342,138.6,536
7.54,B,cool,81,1342,262.6,540
7.65,B,cool,82,1402,126.9,548
7.75,B,cool,80,1372,97.0,552
7.85,B,cool,81,1417,109.3,556
7.95,B,cool,81,1387,123.9,560
8.06,B,cool,81,1342,149.8,564
8.16,B,cool,80,1297,192.4,568
8.26,B,cool,80,1297,261.8,568
8.37,B,cool,80,1297,259.3,572
8.47,B,cool,80,1297,257.9,576
8.58,B,cool,79,1297,247.0,580
8.68,B,cool,79,1410,238.2,584
8.78,B,cool,79,1357,212.0,588
8.89,B,cool,79,1342,158.9,592
8.99,B,cool,79,1312,117.3,596
9.1,B,cool,78,1297,76.7,600
9.2,B,cool,79,1297,77.0,604
9.3,B,cool,78,1395,82.7,608
9.41,B,cool,79,1297,188.8,612
9.51,B,cool,79,1297,241.0,616
