phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,575,5671.0,167.6,168.4,810,14001,96,19,33.83,48.5,0x0,0.0,52.9,512,8,810,False
prefill,575,7989.1,192.2,192.7,1110,14001,96,15,41.58,52.5,0x0,0.0,56.9,512,8,1110,False
prefill,575,9892.9,230.8,231.1,1410,14001,98,13,42.86,53.4,0x0,0.0,58.2,512,8,1410,False
prefill,575,12415.7,289.0,288.4,1710,14001,96,14,42.96,57.4,0x0,0.0,62.1,512,8,1710,False
prefill,575,13194.9,346.9,345.6,1950,14001,96,7,38.03,60.4,0x0,0.0,65.0,512,8,1950,False
prefill,575,15158.5,422.4,422.4,2190,14001,98,15,35.89,67.5,0x0,0.0,71.6,512,8,2190,False
prefill,575,16359.5,507.7,508.5,2430,14001,96,20,32.23,70.7,0x0,0.0,75.5,512,8,2430,False
prefill,575,17872.8,571.2,568.4,2595,14001,96,19,31.29,75.8,0x4,0.0,80.2,512,8,2670,True
prefill,575,18248.9,576.0,574.3,2580,14001,96,10,31.68,74.5,0x4,0.0,79.7,512,8,2880,True
prefill,575,18377.3,576.8,577.5,2580,14001,96,14,31.86,73.5,0x4,0.0,77.2,512,8,3090,True
