phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,575,3283.6,171.6,170.9,810,14001,94,16,19.14,50.1,0x0,0.0,54.9,2048,4,810,False
prefill,575,4600.2,202.0,201.5,1110,14001,97,14,22.78,52.3,0x0,0.0,55.7,2048,4,1110,False
prefill,575,5882.7,246.4,244.8,1410,14001,95,19,23.87,53.3,0x0,0.0,57.7,2048,4,1410,False
prefill,575,7033.6,312.4,312.2,1710,14001,97,13,22.52,58.9,0x0,0.0,63.9,2048,4,1710,False
prefill,575,7898.1,377.7,378.7,1950,14001,96,15,20.91,62.3,0x0,0.0,66.8,2048,4,1950,False
prefill,575,9234.2,460.0,461.0,2190,14001,95,12,20.07,66.4,0x0,0.0,70.9,2048,4,2190,False
prefill,575,10255.2,560.0,558.8,2430,14001,96,15,18.31,74.7,0x0,0.0,79.2,2048,4,2430,False
prefill,575,10259.7,575.3,570.7,2460,14001,96,10,17.83,75.1,0x4,0.0,79.3,2048,4,2670,True
prefill,575,9971.3,579.5,578.6,2460,14001,98,12,17.21,73.2,0x4,0.0,77.2,2048,4,2880,True
prefill,575,10378.7,571.8,566.5,2445,14001,96,15,18.15,74.1,0x4,0.0,78.8,2048,4,3090,True
