phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,109.2,197.4,196.0,1305,14001,97,48,0.55,51.9,0x4,0.0,56.0,2048,16,2064.0,32,4.69,0.5,2
decode,225,122.5,226.3,225.2,1515,14001,99,51,0.54,51.3,0x4,0.0,54.9,2048,16,2064.0,32,4.18,0.47,2
decode,253,136.6,253.3,253.4,1710,14001,97,44,0.54,54.0,0x4,0.0,57.5,2048,16,2064.0,32,3.75,0.09,2
decode,284,147.3,286.8,287.4,1875,14001,98,48,0.51,57.3,0x4,0.0,61.5,2048,16,2064.0,32,3.48,0.74,2
decode,320,160.1,319.4,317.0,2070,14001,96,50,0.5,58.6,0x4,0.0,63.5,2048,16,2064.0,32,3.2,0.29,2
decode,359,172.3,359.3,361.7,2220,14001,96,53,0.48,61.7,0x4,0.0,65.7,2048,16,2064.0,32,2.97,0.39,2
decode,404,184.4,406.5,406.1,2385,14001,98,51,0.45,62.5,0x4,0.0,67.0,2048,16,2064.0,32,2.78,0.29,2
decode,454,191.1,456.0,454.2,2550,14001,98,52,0.42,68.2,0x4,0.0,72.0,2048,16,2064.0,32,2.68,0.22,2
decode,511,204.4,506.1,507.4,2715,14001,98,53,0.4,69.8,0x4,0.0,74.3,2048,16,2064.0,32,2.51,0.88,2
decode,575,215.2,567.6,568.8,2895,14001,100,49,0.38,74.5,0x0,0.0,79.1,2048,16,2064.0,32,2.5,0.33,2
