phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,575,3562.1,168.9,169.1,810,14001,96,17,21.08,50.1,0x0,0.0,55.2,2048,4,810,False
prefill,575,4835.7,198.1,198.0,1110,14001,94,14,24.42,53.7,0x0,0.0,57.4,2048,4,1110,False
prefill,575,6149.3,243.1,243.3,1410,14001,93,17,25.3,55.4,0x0,0.0,59.1,2048,4,1410,False
prefill,575,7548.5,301.1,300.5,1710,14001,94,12,25.07,59.9,0x0,0.0,63.4,2048,4,1710,False
prefill,575,8426.2,366.4,368.0,1950,14001,96,11,23.0,61.8,0x0,0.0,65.7,2048,4,1950,False
prefill,575,9413.9,444.3,445.3,2190,14001,95,13,21.19,65.0,0x0,0.0,68.5,2048,4,2190,False
prefill,575,10612.4,545.7,543.7,2430,14001,94,15,19.45,72.9,0x0,0.0,75.9,2048,4,2430,False
prefill,575,11006.1,575.9,575.0,2490,14001,96,13,19.11,75.6,0x4,0.0,78.9,2048,4,2670,True
prefill,575,11014.7,573.5,573.1,2505,14001,96,11,19.21,74.2,0x4,0.0,78.0,2048,4,2880,True
prefill,575,10905.5,574.2,571.4,2490,14001,97,9,18.99,73.9,0x4,0.0,78.1,2048,4,3090,True
