phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,1535.8,200.8,201.6,1290,14001,98,51,7.65,52.9,0x4,0.0,56.4,512,64,528.0,32,2.5,0.49,2
decode,225,1679.8,223.9,224.3,1485,14001,98,54,7.5,54.3,0x4,0.0,58.2,512,64,528.0,32,2.5,0.32,2
decode,253,1947.3,254.2,255.0,1695,14001,97,50,7.66,55.8,0x4,0.0,59.9,512,64,528.0,32,2.5,0.21,2
decode,284,2113.8,285.0,284.8,1860,14001,98,52,7.42,57.6,0x4,0.0,63.0,512,64,528.0,32,2.5,0.37,2
decode,320,2360.5,320.1,318.5,2025,14001,99,53,7.38,58.1,0x4,0.0,62.6,512,64,528.0,32,2.5,0.23,2
decode,359,2487.8,356.8,358.9,2190,14001,98,52,6.97,60.5,0x4,0.0,64.9,512,64,528.0,32,2.5,0.74,2
decode,404,2547.9,409.3,411.3,2370,14001,97,47,6.23,64.0,0x4,0.0,67.2,512,64,528.0,32,2.5,0.48,2
decode,454,2748.1,452.4,450.5,2505,14001,99,52,6.07,67.3,0x4,0.0,71.1,512,64,528.0,32,2.5,0.49,2
decode,511,2941.3,511.4,509.8,2685,14001,96,51,5.75,71.7,0x4,0.0,75.2,512,64,528.0,32,2.5,0.39,2
decode,575,2968.9,572.6,572.2,2850,14001,97,50,5.19,73.2,0x4,0.0,78.0,512,64,528.0,32,2.5,0.13,2
