phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,575,23606.4,172.6,171.8,810,14001,95,11,136.79,51.3,0x0,0.0,56.7,512,16,810,False
prefill,575,32846.0,200.1,200.1,1110,14001,96,14,164.13,51.9,0x0,0.0,55.1,512,16,1110,False
prefill,575,38508.7,245.4,243.1,1410,14001,94,13,156.93,54.9,0x0,0.0,59.9,512,16,1410,False
prefill,575,47426.1,310.4,311.2,1710,14001,94,15,152.77,57.1,0x0,0.0,60.5,512,16,1710,False
prefill,575,54895.3,377.7,379.0,1950,14001,97,13,145.32,62.5,0x0,0.0,66.3,512,16,1950,False
prefill,575,60257.2,467.2,466.5,2190,14001,96,11,128.97,67.0,0x0,0.0,71.7,512,16,2190,False
prefill,575,68075.5,572.5,569.7,2430,14001,93,10,118.91,74.0,0x0,0.0,78.8,512,16,2430,False
prefill,575,67655.9,572.4,574.2,2445,14001,97,10,118.2,75.7,0x4,0.0,79.4,512,16,2670,True
prefill,575,65283.7,580.8,583.1,2430,14001,97,18,112.4,75.3,0x4,0.0,79.7,512,16,2880,True
prefill,575,72845.2,571.6,571.5,2445,14001,97,10,127.44,72.2,0x4,0.0,76.4,512,16,3090,True
