phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,575,6527.9,170.3,169.5,810,14001,96,17,38.32,52.2,0x0,0.0,56.2,256,16,810,False
prefill,575,8933.5,200.5,201.7,1110,14001,95,15,44.55,54.5,0x0,0.0,59.0,256,16,1110,False
prefill,575,11231.1,247.0,247.5,1410,14001,97,14,45.48,55.1,0x0,0.0,59.2,256,16,1410,False
prefill,575,13697.1,304.8,304.8,1710,14001,94,12,44.93,58.9,0x0,0.0,64.1,256,16,1710,False
prefill,575,15462.1,375.2,376.8,1950,14001,96,13,41.21,62.8,0x0,0.0,67.0,256,16,1950,False
prefill,575,17741.2,458.3,457.3,2190,14001,95,16,38.71,65.8,0x0,0.0,70.0,256,16,2190,False
prefill,575,19311.2,557.4,558.5,2430,14001,96,11,34.64,73.1,0x0,0.0,77.8,256,16,2430,False
prefill,575,19461.1,576.4,581.9,2475,14001,96,13,33.76,73.1,0x4,0.0,76.1,256,16,2670,True
prefill,575,19763.3,573.3,572.1,2445,14001,97,11,34.47,72.4,0x4,0.0,77.0,256,16,2880,True
prefill,575,19635.7,577.1,574.6,2475,14001,95,14,34.03,72.3,0x4,0.0,76.6,256,16,3090,True
