phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,575,2546.4,170.6,170.1,810,14001,95,9,14.93,48.7,0x0,0.0,52.3,4096,2,810,False
prefill,575,3540.9,199.2,199.5,1110,14001,96,14,17.78,51.5,0x0,0.0,55.3,4096,2,1110,False
prefill,575,4427.2,243.0,242.8,1410,14001,95,11,18.22,56.7,0x0,0.0,60.4,4096,2,1410,False
prefill,575,5553.3,307.0,304.7,1710,14001,95,14,18.09,58.9,0x0,0.0,63.3,4096,2,1710,False
prefill,575,6178.2,377.4,377.3,1950,14001,96,19,16.37,63.6,0x0,0.0,68.4,4096,2,1950,False
prefill,575,7113.1,458.0,458.1,2190,14001,96,16,15.53,66.7,0x0,0.0,70.6,4096,2,2190,False
prefill,575,8011.5,558.9,559.6,2430,14001,95,16,14.33,75.3,0x0,0.0,78.0,4096,2,2430,False
prefill,575,7870.2,578.4,578.3,2490,14001,96,14,13.61,72.0,0x4,0.0,75.5,4096,2,2670,True
prefill,575,8103.9,570.3,572.7,2475,14001,97,19,14.21,72.9,0x4,0.0,76.5,4096,2,2880,True
prefill,575,8327.9,579.8,577.6,2460,14001,97,14,14.36,73.7,0x4,0.0,78.1,4096,2,3090,True
