phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,15.4,202.0,202.9,1320,14001,97,53,0.08,53.3,0x4,0.0,58.4,32768,4,32784.0,32,8.3,0.7,2
decode,225,19.5,223.1,222.0,1530,14001,96,51,0.09,52.4,0x4,0.0,56.8,32768,4,32784.0,32,6.55,0.28,2
decode,253,21.7,253.6,256.2,1710,14001,97,54,0.09,53.6,0x4,0.0,58.3,32768,4,32784.0,32,5.89,0.06,2
decode,284,22.2,284.5,285.3,1905,14001,98,53,0.08,55.6,0x4,0.0,59.8,32768,4,32784.0,32,5.76,0.43,2
decode,320,25.0,314.8,314.6,2085,14001,97,51,0.08,59.9,0x4,0.0,63.3,32768,4,32784.0,32,5.13,0.1,2
decode,359,26.2,358.3,360.4,2235,14001,100,49,0.07,61.0,0x4,0.0,65.5,32768,4,32784.0,32,4.89,0.65,2
decode,404,27.5,402.3,400.9,2400,14001,99,53,0.07,65.3,0x4,0.0,69.8,32768,4,32784.0,32,4.65,0.66,2
decode,454,29.5,457.5,457.4,2565,14001,97,49,0.06,67.6,0x4,0.0,70.8,32768,4,32784.0,32,4.33,0.68,2
decode,511,32.0,508.6,507.8,2745,14001,98,53,0.06,68.1,0x4,0.0,71.8,32768,4,32784.0,32,4.0,0.08,2
decode,575,32.2,561.7,561.2,2895,14001,96,55,0.06,70.5,0x0,0.0,75.2,32768,4,32784.0,32,3.97,0.7,2
