phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,575,9178.9,172.1,172.3,810,14001,96,18,53.34,53.0,0x0,0.0,57.1,512,8,810,False
prefill,575,12293.1,200.9,198.7,1110,14001,96,19,61.19,50.5,0x0,0.0,54.3,512,8,1110,False
prefill,575,15869.3,247.8,247.9,1410,14001,93,15,64.05,54.1,0x0,0.0,59.1,512,8,1410,False
prefill,575,19700.9,310.7,311.5,1710,14001,94,12,63.41,59.5,0x0,0.0,63.2,512,8,1710,False
prefill,575,22144.1,382.1,382.4,1950,14001,96,11,57.95,64.3,0x0,0.0,68.0,512,8,1950,False
prefill,575,23485.8,463.1,463.5,2190,14001,97,9,50.71,67.6,0x0,0.0,71.8,512,8,2190,False
prefill,575,28476.6,570.4,571.7,2430,14001,96,13,49.92,73.5,0x0,0.0,78.4,512,8,2430,False
prefill,575,28307.8,574.1,573.0,2445,14001,96,16,49.31,73.9,0x4,0.0,78.6,512,8,2670,True
prefill,575,26682.2,568.0,565.6,2445,14001,95,14,46.98,74.7,0x4,0.0,78.7,512,8,2880,True
prefill,575,27219.5,578.4,580.3,2445,14001,96,14,47.06,73.9,0x4,0.0,79.0,512,8,3090,True
