phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,272.6,252.8,271.7,345,3201,100,8,2.66,44.1,0x4,0.0,43.0,256,64,272.0,32,3.04,0.06,2
decode,226,673.5,252.5,270.8,345,3201,100,8,2.67,44.1,0x4,0.0,43.0,256,64,272.0,32,3.04,0.0,2
decode,266,730.4,266.1,281.4,379,3201,100,9,2.74,44.1,0x4,0.0,43.0,256,64,272.0,32,2.8,0.68,2
decode,313,975.9,301.8,315.7,524,3201,99,12,3.23,44.8,0x4,0.0,43.0,256,64,275.5,39,2.56,0.74,2
decode,367,1295.1,370.4,365.3,768,3201,99,16,3.5,46.1,0x4,0.0,44.4,256,64,282.0,52,2.57,0.73,2
decode,426,1629.2,420.7,424.0,1085,3201,98,20,3.87,47.0,0x4,0.0,45.4,256,64,288.5,65,2.55,0.4,2
decode,489,1851.3,486.9,484.2,1298,3201,98,23,3.8,48.7,0x4,0.0,46.7,256,64,292.5,73,2.52,0.15,2
decode,556,1987.1,545.2,552.1,1397,3201,98,25,3.64,50.6,0x4,0.0,48.3,256,64,295.5,79,2.54,0.1,2
decode,626,2128.1,610.8,619.4,1525,3201,98,27,3.48,53.0,0x4,0.0,50.3,256,64,298.0,84,2.53,0.47,2
decode,700,2290.7,665.1,678.6,1687,3201,98,30,3.44,55.3,0x4,0.0,51.7,256,64,301.0,90,2.51,0.21,2
