phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,97.0,277.5,277.4,345,3201,99,14,0.93,47.1,0x4,0.0,45.3,256,8,296.5,81,2.52,0.12,2
decode,226,257.4,278.3,277.0,345,3201,98,15,0.92,45.3,0x4,0.0,44.5,256,8,296.5,81,2.52,0.02,2
decode,266,257.7,280.7,279.5,345,3201,98,13,0.92,45.2,0x4,0.0,44.1,256,8,296.5,81,2.51,0.05,2
decode,313,325.4,314.0,313.0,499,3201,96,17,1.04,45.2,0x4,0.0,44.4,256,8,307.5,103,2.53,0.76,2
decode,367,388.0,354.4,358.8,1128,3201,73,20,1.09,46.1,0x4,0.0,44.9,256,8,317.0,122,2.52,0.41,2
decode,426,396.7,404.9,409.4,1580,3201,61,20,0.98,47.1,0x4,0.0,45.4,256,8,318.0,124,2.5,0.87,2
decode,489,395.2,473.4,456.4,1920,3201,56,20,0.83,49.0,0x4,0.0,46.2,256,8,318.0,124,2.51,0.06,2
decode,556,395.4,466.2,462.5,1922,3201,51,20,0.85,50.0,0x4,0.0,46.9,256,8,318.0,124,2.51,0.65,2
decode,626,387.5,479.2,465.9,1935,3201,53,20,0.81,51.0,0x4,0.0,47.8,256,8,317.0,122,2.52,1.55,2
decode,700,392.0,486.2,473.7,1935,3201,46,19,0.81,52.1,0x4,0.0,48.2,256,8,317.5,123,2.51,0.58,2
