phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch
prefill,200,4889.3,337.5,327.3,348,3201,97,10,14.48,48.9,0x4,0.0,46.0,2048,4
prefill,226,4864.6,336.2,333.7,371,3201,96,10,14.47,47.7,0x4,0.0,45.0,2048,4
prefill,266,4915.4,341.8,336.5,384,3201,96,10,14.38,47.0,0x4,0.0,44.1,2048,4
prefill,313,5172.9,355.0,345.4,380,3201,96,10,14.57,46.9,0x4,0.0,44.0,2048,4
prefill,367,5730.6,374.5,365.9,409,3201,96,11,15.3,47.4,0x4,0.0,44.4,2048,4
prefill,426,6941.5,421.1,414.5,509,3201,97,14,16.49,48.2,0x4,0.0,45.1,2048,4
prefill,489,8361.7,484.1,466.0,583,3201,97,17,17.27,49.7,0x4,0.0,46.4,2048,4
prefill,556,10202.8,552.8,527.6,769,3201,95,20,18.46,51.6,0x4,0.0,48.0,2048,4
prefill,626,12294.9,626.8,600.7,934,3201,95,24,19.62,53.8,0x4,0.0,49.7,2048,4
prefill,700,13976.9,710.9,705.9,1102,3201,93,26,19.66,55.0,0x4,0.0,50.8,2048,4
