phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,63.7,225.7,232.3,345,3201,100,5,0.28,45.8,0x4,0.0,43.7,2048,16,2064.0,32,8.04,0.01,2
decode,226,64.4,226.2,232.1,350,3201,100,5,0.28,44.1,0x4,0.0,42.9,2048,16,2064.0,32,7.95,0.21,2
decode,266,91.2,264.4,267.9,511,3201,100,7,0.34,44.0,0x4,0.0,43.0,2048,16,2064.0,32,5.61,0.59,2
decode,313,126.8,311.4,312.3,741,3201,99,10,0.41,45.0,0x4,0.0,43.1,2048,16,2064.0,32,4.04,0.4,2
decode,367,166.0,359.2,370.7,1023,3201,99,13,0.46,47.0,0x4,0.0,44.7,2048,16,2064.0,32,3.08,0.23,2
decode,426,195.4,422.3,419.8,1269,3201,99,16,0.46,48.9,0x4,0.0,46.5,2048,16,2064.0,32,2.62,1.63,2
decode,489,217.5,473.1,484.9,1426,3201,99,18,0.46,50.8,0x4,0.0,47.6,2048,16,2065.5,35,2.57,0.13,2
decode,556,234.7,561.4,551.9,1574,3201,99,19,0.42,53.1,0x4,0.0,49.9,2048,16,2067.0,38,2.59,0.41,2
decode,626,252.7,629.0,622.3,1720,3201,99,21,0.4,55.7,0x4,0.0,51.3,2048,16,2068.5,41,2.6,0.05,2
decode,700,266.9,702.6,693.5,1864,3201,99,22,0.38,57.9,0x4,0.0,52.0,2048,16,2069.5,43,2.58,0.08,2
