phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch
prefill,200,4820.6,309.7,308.3,369,3201,98,10,15.57,49.0,0x4,0.0,46.8,2048,4
prefill,226,4831.5,316.2,307.6,375,3201,96,10,15.28,45.5,0x4,0.0,43.4,2048,4
prefill,266,4862.0,310.9,307.9,376,3201,97,10,15.64,44.9,0x4,0.0,43.0,2048,4
prefill,313,5207.9,325.1,322.0,392,3201,96,11,16.02,45.0,0x4,0.0,43.3,2048,4
prefill,367,6350.4,363.2,355.8,498,3201,95,13,17.49,46.2,0x4,0.0,44.1,2048,4
prefill,426,7916.5,418.9,407.9,627,3201,95,16,18.9,47.9,0x4,0.0,45.6,2048,4
prefill,489,9857.7,488.9,482.9,836,3201,94,20,20.16,49.8,0x4,0.0,47.3,2048,4
prefill,556,12260.2,563.8,565.3,1017,3201,96,25,21.74,52.3,0x4,0.0,49.4,2048,4
prefill,626,13487.5,611.8,597.5,1074,3201,93,26,22.04,54.1,0x4,0.0,50.9,2048,4
prefill,700,15503.9,688.1,667.7,1265,3201,94,31,22.53,56.7,0x4,0.0,52.1,2048,4
