id,decode_ctx,decode_batch,R2_old,R2_additive,relRMSE_old_pct,relRMSE_additive_pct,LOO_old_pct,LOO_additive_pct,R2_power_fit,R2_clock_fit,P_s_W,chi_W,theta,T_mem_ms,Cc_ms,p,exponents_railed,stageI_II_W,stageII_III_W,T_plateau
chat-phi3,256,64,0.508,0.575,31.8,29.5,49.9,54.8,0.992,0.721,250.0,610.8,2.26,37.75,3.132,1.71,False,270.5,577.4,1695.2
rag-phi3,1024,32,0.988,0.95,5.0,10.0,8.9,13.9,0.992,0.962,229.6,602.1,1.72,46.22,12.209,1.35,False,310.8,712.0,692.4
code-phi3,2048,16,0.955,0.917,9.2,12.6,17.6,15.3,0.995,0.977,223.7,544.1,2.16,63.64,29.151,1.15,False,285.4,671.5,251.4
longform-phi3,4096,8,0.977,0.935,6.5,10.9,12.9,16.1,0.996,0.987,223.2,487.5,2.04,34.93,16.504,1.12,False,284.6,629.0,229.0
summarize-qwen7b,32768,4,0.99,0.934,4.8,12.3,11.5,16.9,0.997,0.938,191.1,716.5,1.13,130.43,15.858,1.71,False,356.7,762.0,30.7
translate-qwen3b,512,64,0.843,0.806,19.4,21.6,28.5,28.1,0.975,0.85,234.5,700.1,1.53,31.07,16.233,0.95,False,359.7,838.8,2059.6
fastchat-qwen15b,512,64,0.845,0.815,19.3,21.1,32.6,27.7,0.974,0.855,223.2,658.7,1.38,31.04,16.192,0.95,False,363.5,800.3,2061.9
classify-qwen7b,256,8,0.886,-0.743,6.0,23.3,6.8,26.6,0.989,0.998,275.5,209.2,1.79,20.21,0.158,2.43,False,281.4,323.6,395.8
qwen3chat-4b,1024,32,0.989,0.935,4.9,11.9,10.9,16.4,0.995,0.943,219.3,735.0,1.35,57.2,7.727,1.64,False,347.7,787.0,559.4
qwen3think-4b,8192,8,0.989,0.929,4.9,12.6,11.5,17.4,0.997,0.934,212.1,726.2,1.25,101.39,13.72,1.64,False,355.6,783.5,78.9
