phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,501.0,256.8,261.3,345,3201,99,8,4.01,46.4,0x4,0.0,44.7,512,64,532.5,41,2.55,0.14,2
decode,226,1028.3,244.1,259.9,345,3201,99,8,4.21,45.5,0x4,0.0,43.9,512,64,532.5,41,2.55,0.06,2
decode,266,1180.5,270.8,272.7,410,3201,99,10,4.36,45.7,0x4,0.0,44.0,512,64,535.5,47,2.55,0.22,2
decode,313,1648.0,312.1,313.8,590,3201,98,13,5.28,46.1,0x4,0.0,44.9,512,64,544.5,65,2.52,33.12,3
decode,367,2120.4,359.6,365.2,817,3201,98,17,5.9,47.1,0x4,0.0,45.8,512,64,554.0,84,2.54,0.08,2
decode,426,2625.0,406.1,421.0,1089,3201,98,21,6.46,48.5,0x4,0.0,46.9,512,64,563.5,103,2.51,0.34,2
decode,489,2963.3,488.2,480.7,1292,3201,96,24,6.07,50.5,0x4,0.0,48.4,512,64,570.5,117,2.53,0.85,2
decode,556,3162.3,559.8,541.7,1500,3201,92,26,5.65,52.6,0x4,0.0,49.8,512,64,574.0,124,2.51,0.15,2
decode,626,3243.7,631.0,606.9,1732,3201,86,27,5.14,54.8,0x4,0.0,50.8,512,64,575.5,127,2.51,0.48,2
decode,700,3248.7,699.3,666.6,1923,3201,81,27,4.65,56.4,0x4,0.0,51.2,512,64,575.5,127,2.5,0.35,2
