phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch
prefill,200,14809.7,373.0,360.3,351,3201,95,11,39.71,50.9,0x4,0.0,47.6,512,16
prefill,226,14772.7,371.7,361.4,371,3201,94,10,39.74,48.9,0x4,0.0,45.8,512,16
prefill,266,14892.6,374.8,363.7,367,3201,95,10,39.74,47.9,0x4,0.0,44.8,512,16
prefill,313,15376.2,381.8,369.4,383,3201,95,11,40.27,47.8,0x4,0.0,44.7,512,16
prefill,367,15901.0,388.7,378.0,391,3201,94,11,40.9,48.0,0x4,0.0,44.8,512,16
prefill,426,18678.3,436.2,418.8,465,3201,95,13,42.82,48.8,0x4,0.0,45.4,512,16
prefill,489,22435.4,492.3,472.7,554,3201,93,15,45.57,50.7,0x4,0.0,46.7,512,16
prefill,556,27493.8,551.6,535.6,689,3201,94,19,49.84,52.4,0x4,0.0,48.3,512,16
prefill,626,31766.4,629.5,600.2,798,3201,93,22,50.47,54.4,0x4,0.0,49.9,512,16
prefill,700,37319.6,714.5,668.1,937,3201,93,25,52.23,56.7,0x4,0.0,51.5,512,16
