phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,59.4,228.0,233.9,345,3201,100,6,0.26,46.1,0x4,0.0,43.9,4096,8,4112.0,32,4.31,0.01,2
decode,226,60.3,225.2,233.4,350,3201,100,6,0.27,44.1,0x4,0.0,43.0,4096,8,4112.0,32,4.25,0.23,2
decode,266,84.5,263.6,267.7,508,3201,99,8,0.32,44.0,0x4,0.0,43.0,4096,8,4112.0,32,3.03,0.65,2
decode,313,117.9,306.1,312.0,738,3201,99,11,0.39,45.0,0x4,0.0,43.1,4096,8,4115.0,38,2.58,0.3,2
decode,367,155.2,373.3,364.9,1106,3201,99,14,0.42,46.7,0x4,0.0,44.9,4096,8,4121.0,50,2.58,1.22,2
decode,426,182.3,424.5,423.5,1331,3201,99,17,0.43,48.4,0x4,0.0,46.2,4096,8,4125.0,58,2.55,0.01,2
decode,489,196.7,489.0,484.1,1461,3201,98,18,0.4,50.3,0x4,0.0,47.8,4096,8,4127.0,62,2.52,0.36,2
decode,556,214.7,550.4,552.8,1639,3201,98,20,0.39,52.9,0x4,0.0,49.4,4096,8,4130.0,68,2.53,0.34,2
decode,626,229.4,619.0,619.3,1798,3201,98,21,0.37,55.0,0x4,0.0,50.8,4096,8,4132.5,73,2.55,0.02,2
decode,700,242.9,690.5,688.8,1919,3201,98,22,0.35,57.8,0x4,0.0,52.0,4096,8,4134.5,77,2.54,0.02,2
