phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch
prefill,200,10410.5,349.7,342.3,387,3201,94,9,29.77,49.9,0x4,0.0,46.8,256,16
prefill,226,10390.7,350.4,342.4,365,3201,93,9,29.65,46.7,0x4,0.0,43.6,256,16
prefill,266,10487.3,358.9,346.2,382,3201,97,10,29.22,45.9,0x4,0.0,43.0,256,16
prefill,313,10847.4,363.0,352.2,399,3201,93,9,29.88,45.9,0x4,0.0,42.9,256,16
prefill,367,11365.4,369.8,364.1,409,3201,95,10,30.73,46.9,0x4,0.0,43.3,256,16
prefill,426,14085.2,423.3,415.8,490,3201,94,12,33.28,48.4,0x4,0.0,44.8,256,16
prefill,489,17171.6,489.0,473.1,623,3201,93,15,35.12,50.4,0x4,0.0,46.6,256,16
prefill,556,20466.3,559.1,534.9,738,3201,93,18,36.61,52.4,0x4,0.0,48.1,256,16
prefill,626,23905.0,639.2,599.2,868,3201,92,20,37.4,54.6,0x4,0.0,49.8,256,16
prefill,700,27724.0,706.7,673.5,1046,3201,92,23,39.23,57.0,0x4,0.0,51.6,256,16
