id,application,model_id,decode_ctx,decode_batch,pre_R2,pre_p,pre_relRMSE_pct,dec_R2,dec_relRMSE_pct,dec_Tmem_ms,dec_Cc_ms,dec_p,dec_P2_W,dec_exponents_railed,dec_Tmax_fit,dec_Tmax_pred,Dmem_GB,BW_impl_GBs
chat-phi3,chat,/data1/meteor/models/Phi-3-mini-4k-instruct,256,64,0.998,1.02,1.7,0.575,29.5,37.75,3.132,1.71,577.4,False,1695.2,,,
rag-phi3,RAG,/data1/meteor/models/Phi-3-mini-4k-instruct,1024,32,0.999,1.01,1.4,0.95,10.0,46.22,12.209,1.35,712.0,False,692.4,,,
code-phi3,code,/data1/meteor/models/Phi-3-mini-4k-instruct,2048,16,0.998,0.94,1.9,0.917,12.6,63.64,29.151,1.15,671.5,False,251.4,,,
longform-phi3,long-gen,/data1/meteor/models/Phi-3-mini-4k-instruct,4096,8,0.999,0.98,1.3,0.935,10.9,34.93,16.504,1.12,629.0,False,229.0,,,
summarize-qwen7b,summarization,/data1/meteor/models/Qwen2.5-7B-Instruct,32768,4,1.0,1.08,0.9,0.934,12.3,130.43,15.858,1.71,762.0,False,30.7,,,
translate-qwen3b,translation,/data1/meteor/models/Qwen2.5-3B-Instruct,512,64,0.997,0.97,2.0,0.806,21.6,31.07,16.233,0.95,838.8,False,2059.6,,,
fastchat-qwen15b,chat,/data1/meteor/models/Qwen2.5-3B-Instruct,512,64,0.998,0.97,1.4,0.815,21.1,31.04,16.192,0.95,800.3,False,2061.9,,,
classify-qwen7b,classification,/data1/meteor/models/Qwen2.5-7B-Instruct,256,8,0.998,0.96,1.8,-0.743,23.3,20.21,0.158,2.43,323.6,False,395.8,,,
qwen3chat-4b,chat,/data1/meteor/models/Qwen3-4B,1024,32,0.998,0.96,1.9,0.935,11.9,57.2,7.727,1.64,787.0,False,559.4,,,
qwen3think-4b,reasoning,/data1/meteor/models/Qwen3-4B,8192,8,0.999,0.96,1.5,0.929,12.6,101.39,13.72,1.64,783.5,False,78.9,,,
