phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,173.1,286.9,291.7,345,3201,100,9,0.6,47.1,0x4,0.0,45.1,1024,32,1040.0,32,5.92,0.02,2
decode,226,173.2,285.8,290.7,345,3201,100,9,0.61,45.7,0x4,0.0,44.0,1024,32,1040.0,32,5.91,0.02,2
decode,266,173.5,280.4,291.0,345,3201,100,9,0.62,45.2,0x4,0.0,43.7,1024,32,1040.0,32,5.9,0.01,2
decode,313,207.2,310.4,316.3,409,3201,100,11,0.67,46.0,0x4,0.0,44.2,1024,32,1040.0,32,4.94,0.77,2
decode,367,276.4,368.0,365.6,562,3201,99,15,0.75,47.0,0x4,0.0,45.2,1024,32,1040.0,32,3.7,0.02,2
decode,426,350.4,424.9,426.4,744,3201,99,18,0.82,48.4,0x4,0.0,46.9,1024,32,1040.0,32,2.92,0.7,2
decode,489,426.1,478.8,484.4,922,3201,99,23,0.89,50.0,0x4,0.0,48.6,1024,32,1041.0,34,2.55,1.44,2
decode,556,516.2,573.2,551.8,1190,3201,99,27,0.9,52.4,0x4,0.0,50.8,1024,32,1044.5,41,2.54,0.21,2
decode,626,559.7,626.6,619.5,1306,3201,99,30,0.89,54.5,0x4,0.0,52.0,1024,32,1046.5,45,2.57,0.05,2
decode,700,602.3,712.8,693.9,1429,3201,99,32,0.84,57.0,0x4,0.0,53.5,1024,32,1048.0,48,2.55,0.24,2
