phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch
prefill,200,8627.7,346.3,339.5,375,3201,95,11,24.91,48.7,0x4,0.0,45.8,512,8
prefill,226,8642.9,348.9,339.9,376,3201,94,10,24.77,46.9,0x4,0.0,44.4,512,8
prefill,266,9730.3,350.3,342.0,385,3201,94,11,24.92,46.8,0x4,0.0,43.9,512,8
prefill,313,10017.5,359.4,348.2,374,3201,93,11,25.09,46.7,0x4,0.0,43.9,512,8
prefill,367,10659.2,369.3,364.9,420,3201,96,12,26.16,47.0,0x4,0.0,44.1,512,8
prefill,426,13947.7,427.6,414.1,537,3201,93,14,27.94,48.5,0x4,0.0,45.4,512,8
prefill,489,16567.9,494.5,473.7,610,3201,94,18,29.46,50.3,0x4,0.0,46.8,512,8
prefill,556,19539.4,563.2,536.4,755,3201,95,21,31.14,52.4,0x4,0.0,48.9,512,8
prefill,626,20477.5,631.0,600.6,926,3201,93,24,32.45,54.4,0x4,0.0,50.5,512,8
prefill,700,21785.1,694.7,669.6,1097,3201,93,28,34.24,56.7,0x4,0.0,52.0,512,8
