phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,24.4,289.3,289.8,345,3201,100,10,0.08,46.0,0x4,0.0,44.2,8192,8,8208.0,32,10.5,0.04,2
decode,226,24.4,289.5,289.5,345,3201,100,10,0.08,45.0,0x4,0.0,43.5,8192,8,8208.0,32,10.5,0.0,2
decode,266,24.4,289.7,289.8,345,3201,100,10,0.08,45.0,0x4,0.0,43.4,8192,8,8208.0,32,10.47,0.01,2
decode,313,28.6,310.8,312.6,398,3201,100,11,0.09,46.0,0x4,0.0,44.2,8192,8,8208.0,32,8.95,0.08,2
decode,367,37.7,366.6,365.3,558,3201,100,15,0.1,47.0,0x4,0.0,45.8,8192,8,8208.0,32,6.79,0.23,2
decode,426,48.1,424.7,426.0,707,3201,99,19,0.11,49.0,0x4,0.0,47.9,8192,8,8208.0,32,5.33,0.14,2
decode,489,59.8,481.6,486.6,915,3201,100,23,0.12,51.2,0x4,0.0,50.1,8192,8,8208.0,32,4.28,1.8,2
decode,556,71.5,563.4,554.7,1132,3201,99,28,0.13,53.1,0x4,0.0,51.9,8192,8,8208.0,32,3.58,0.23,2
decode,626,79.6,624.8,625.4,1278,3201,99,31,0.13,56.0,0x4,0.0,53.7,8192,8,8208.0,32,3.22,0.2,2
decode,700,85.6,701.2,695.0,1415,3201,99,34,0.12,58.0,0x4,0.0,55.0,8192,8,8208.0,32,2.99,0.09,2
