phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch
prefill,200,4381.7,315.8,306.4,364,3201,95,11,13.88,49.5,0x4,0.0,47.2,2048,4
prefill,226,4388.8,314.2,306.1,369,3201,95,10,13.97,45.4,0x4,0.0,43.3,2048,4
prefill,266,4404.3,311.7,306.8,375,3201,96,11,14.13,45.4,0x4,0.0,43.2,2048,4
prefill,313,4706.0,322.3,317.1,399,3201,95,11,14.6,45.9,0x4,0.0,43.8,2048,4
prefill,367,5740.5,367.9,364.5,485,3201,97,14,15.6,46.9,0x4,0.0,44.5,2048,4
prefill,426,7152.9,419.8,413.5,578,3201,94,17,17.04,48.6,0x4,0.0,46.1,2048,4
prefill,489,9011.8,487.9,470.2,815,3201,96,21,18.47,50.9,0x4,0.0,48.4,2048,4
prefill,556,10843.9,556.7,562.1,956,3201,94,25,19.48,52.7,0x4,0.0,49.9,2048,4
prefill,626,12139.9,622.1,593.2,1014,3201,95,28,19.52,54.8,0x4,0.0,51.8,2048,4
prefill,700,14031.6,680.0,666.7,1261,3201,93,32,20.64,57.4,0x4,0.0,53.1,2048,4
