phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,198.3,254.9,263.2,345,3201,100,8,0.78,43.1,0x4,0.0,42.2,1024,32,1040.0,32,5.16,0.02,2
decode,226,198.4,251.9,263.5,345,3201,100,8,0.79,44.0,0x4,0.0,43.0,1024,32,1040.0,32,5.16,0.09,2
decode,266,219.6,261.8,274.5,386,3201,100,9,0.84,44.2,0x4,0.0,43.0,1024,32,1040.0,32,4.66,0.26,2
decode,313,296.9,306.8,316.2,542,3201,99,12,0.97,45.2,0x4,0.0,43.8,1024,32,1040.0,32,3.45,0.06,2
decode,367,403.6,366.0,365.7,760,3201,99,16,1.1,47.0,0x4,0.0,45.3,1024,32,1040.5,33,2.62,1.87,2
decode,426,502.5,416.0,425.4,1024,3201,99,20,1.21,48.2,0x4,0.0,47.0,1024,32,1044.0,40,2.55,0.58,2
decode,489,591.3,484.4,482.7,1263,3201,99,23,1.22,50.0,0x4,0.0,48.5,1024,32,1047.5,47,2.54,0.51,2
decode,556,647.9,555.5,548.4,1405,3201,99,26,1.17,52.0,0x4,0.0,50.1,1024,32,1050.0,52,2.57,0.08,2
decode,626,686.8,635.1,617.5,1522,3201,99,28,1.08,54.7,0x4,0.0,51.9,1024,32,1051.5,55,2.56,0.09,2
decode,700,742.4,685.3,689.1,1691,3201,99,31,1.08,57.0,0x4,0.0,52.8,1024,32,1053.5,59,2.54,0.06,2
