phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,700,3631.1,319.9,311.5,345,3201,96,14,11.35,48.0,0x0,0.0,46.4,4096,2,345,False
prefill,700,5447.9,410.1,400.1,585,3201,96,21,13.28,48.8,0x0,0.0,47.7,4096,2,585,False
prefill,700,6552.3,467.4,452.1,765,3201,96,25,14.02,49.8,0x0,0.0,48.5,4096,2,765,False
prefill,700,8342.6,553.2,536.4,930,3201,95,30,15.08,51.1,0x0,0.0,50.0,4096,2,930,False
prefill,700,10045.2,648.3,615.6,1080,3201,95,35,15.49,52.8,0x0,0.0,51.4,4096,2,1080,False
prefill,700,10703.3,696.9,662.7,1149,3201,94,38,15.36,54.1,0x4,0.0,51.8,4096,2,1215,True
prefill,700,10725.0,687.8,675.3,1114,3201,93,37,15.59,54.6,0x4,0.0,52.3,4096,2,1350,True
prefill,700,10723.5,692.5,677.2,1094,3201,93,37,15.49,55.0,0x4,0.0,52.6,4096,2,1485,True
prefill,700,10836.8,703.9,677.7,1138,3201,93,37,15.4,55.6,0x4,0.0,53.0,4096,2,1605,True
prefill,700,10871.3,708.6,684.3,1148,3201,96,37,15.34,55.8,0x4,0.0,53.0,4096,2,1740,True
