phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,9.4,287.6,288.2,345,3201,100,9,0.03,45.1,0x4,0.0,43.4,32768,4,32784.0,32,13.57,0.01,2
decode,226,9.4,286.0,289.0,345,3201,100,9,0.03,45.3,0x4,0.0,43.8,32768,4,32784.0,32,13.57,0.0,2
decode,266,9.4,286.2,288.7,345,3201,100,9,0.03,45.2,0x4,0.0,43.5,32768,4,32784.0,32,13.55,0.02,2
decode,313,11.1,312.5,312.9,406,3201,100,11,0.04,46.0,0x4,0.0,44.3,32768,4,32784.0,32,11.57,0.01,2
decode,367,14.7,364.4,363.6,528,3201,100,14,0.04,47.6,0x4,0.0,46.0,32768,4,32784.0,32,8.72,0.29,2
decode,426,18.6,421.2,423.8,700,3201,100,18,0.04,49.6,0x4,0.0,48.1,32768,4,32784.0,32,6.87,0.02,2
decode,489,23.2,488.0,488.3,913,3201,99,23,0.05,52.0,0x4,0.0,50.3,32768,4,32784.0,32,5.52,0.07,2
decode,556,27.7,555.7,554.9,1116,3201,99,27,0.05,54.0,0x4,0.0,52.1,32768,4,32784.0,32,4.63,0.0,2
decode,626,31.0,624.4,628.6,1292,3201,99,30,0.05,56.8,0x4,0.0,53.6,32768,4,32784.0,32,4.12,0.18,2
decode,700,33.3,690.7,687.4,1400,3201,99,33,0.05,58.9,0x4,0.0,55.3,32768,4,32784.0,32,3.84,0.09,2
