phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch
prefill,200,3827.1,346.6,340.5,369,3201,95,12,11.04,49.0,0x4,0.0,46.8,4096,2
prefill,226,3816.7,350.8,340.7,357,3201,96,12,10.88,46.3,0x4,0.0,44.0,4096,2
prefill,266,3855.5,348.2,343.5,383,3201,95,12,11.07,46.5,0x4,0.0,44.2,4096,2
prefill,313,4062.3,366.5,354.2,385,3201,95,13,11.09,46.6,0x4,0.0,44.5,4096,2
prefill,367,4361.8,374.8,371.6,409,3201,97,14,11.64,47.3,0x4,0.0,45.1,4096,2
prefill,426,5253.2,421.0,417.9,503,3201,96,16,12.48,49.0,0x4,0.0,46.5,4096,2
prefill,489,6538.2,494.4,474.2,617,3201,95,20,13.22,50.8,0x4,0.0,48.2,4096,2
prefill,556,7680.0,552.1,539.2,682,3201,96,24,13.91,53.0,0x4,0.0,50.3,4096,2
prefill,626,9142.2,629.3,608.0,788,3201,95,28,14.53,55.4,0x4,0.0,51.9,4096,2
prefill,700,10510.7,695.9,665.5,965,3201,96,32,15.1,57.6,0x4,0.0,53.4,4096,2
