phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,200,637.1,275.3,290.7,345,3201,99,8,2.31,49.3,0x4,0.0,47.2,512,64,528.0,32,3.21,0.06,2
decode,226,637.9,266.9,292.4,345,3201,100,8,2.39,47.1,0x4,0.0,45.1,512,64,528.0,32,3.21,0.05,2
decode,266,638.0,275.9,291.1,345,3201,100,8,2.31,46.5,0x4,0.0,44.6,512,64,528.0,32,3.21,0.03,2
decode,313,602.0,303.1,322.8,441,3201,99,11,2.65,46.8,0x4,0.0,44.5,512,64,528.0,32,2.55,0.15,2
decode,367,1073.5,354.1,366.7,625,3201,99,14,3.03,47.2,0x4,0.0,45.5,512,64,533.5,43,2.56,0.32,2
decode,426,1358.3,416.5,426.0,837,3201,99,18,3.26,49.0,0x4,0.0,46.6,512,64,539.0,54,2.54,0.33,2
decode,489,1658.4,485.6,482.2,1093,3201,98,22,3.42,50.0,0x4,0.0,47.8,512,64,545.0,66,2.55,0.29,2
decode,556,1929.3,557.5,552.9,1268,3201,98,25,3.46,52.1,0x4,0.0,49.9,512,64,550.0,76,2.52,0.36,2
decode,626,2093.9,621.2,622.9,1380,3201,98,27,3.37,53.7,0x4,0.0,50.7,512,64,553.0,82,2.51,0.85,2
decode,700,2177.3,684.7,695.6,1450,3201,98,29,3.18,55.7,0x4,0.0,52.0,512,64,555.0,86,2.53,0.09,2
