phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,700,14246.0,338.4,329.1,345,3201,93,9,42.09,50.9,0x0,0.0,48.0,512,8,345,False
prefill,700,21537.8,446.5,429.8,585,3201,92,14,48.24,51.8,0x0,0.0,48.6,512,8,585,False
prefill,700,26036.9,526.9,494.8,765,3201,93,17,49.41,52.7,0x0,0.0,49.0,512,8,765,False
prefill,700,32526.4,611.4,591.2,930,3201,93,21,53.2,54.6,0x0,0.0,50.2,512,8,930,False
prefill,700,36650.4,684.2,657.9,1010,3201,92,23,53.57,55.9,0x4,0.0,51.0,512,8,1080,True
prefill,700,36995.2,707.9,661.6,980,3201,93,24,52.26,56.4,0x4,0.0,51.2,512,8,1215,True
prefill,700,37070.7,692.2,664.3,996,3201,95,24,53.56,56.4,0x4,0.0,51.3,512,8,1350,True
prefill,700,37501.9,690.4,667.9,1014,3201,93,24,54.32,56.8,0x4,0.0,51.5,512,8,1485,True
prefill,700,37629.5,711.7,672.7,998,3201,92,23,52.87,57.0,0x4,0.0,51.5,512,8,1605,True
prefill,700,37665.0,710.3,672.2,1026,3201,93,23,53.03,57.3,0x4,0.0,51.6,512,8,1740,True
prefill,700,37704.2,709.9,673.0,1021,3201,95,24,53.11,57.2,0x4,0.0,51.7,512,8,1860,True
