phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,ctx,batch,ctx_eff,steps,window_s,spread_pct,n_runs
decode,100,481.6,99.5,99.5,759,877,100,35,4.84,37.9,0x4,0.0,41.9,256,64,272.0,32,4.25,0.61,2
decode,110,565.0,110.8,109.3,837,877,100,41,5.1,39.0,0x4,0.0,42.9,256,64,272.0,32,3.62,0.14,2
decode,126,657.9,126.6,127.1,1027,877,98,48,5.2,40.0,0x4,0.0,44.8,256,64,272.0,32,3.11,1.01,2
decode,145,721.7,145.4,145.2,1144,877,99,53,4.96,42.0,0x4,0.0,46.5,256,64,272.0,32,2.84,0.14,2
decode,167,762.0,168.7,167.7,1263,877,98,55,4.52,44.0,0x4,0.0,48.5,256,64,272.0,32,2.69,1.1,2
decode,190,806.0,191.0,189.1,1360,877,99,59,4.22,45.5,0x4,0.0,49.8,256,64,272.5,33,2.62,0.87,2
decode,216,822.2,217.1,214.7,1435,877,99,59,3.79,47.5,0x4,0.0,51.5,256,64,272.5,33,2.57,0.13,2
decode,242,838.4,235.2,236.4,1508,877,99,61,3.56,49.8,0x4,0.0,53.7,256,64,273.0,34,2.6,0.75,2
decode,271,847.1,242.6,242.6,1520,877,100,62,3.49,50.9,0x0,0.0,54.9,256,64,273.0,34,2.57,0.19,2
decode,300,849.0,244.0,243.8,1526,877,99,61,3.48,51.0,0x4,0.0,55.1,256,64,273.5,35,2.64,0.26,2
