phase,cap_w,throughput_tok_s,power_avg_w,power_sample_avg_w,sm_clk_avg,mem_clk_avg,util_gpu_avg,util_mem_avg,tok_per_joule,temp_avg,throttle_mask,thermal_frac,mem_temp_avg,seq_len,batch,clk_set_mhz,power_limited
prefill,300,843.4,54.2,54.3,135,877,99,4,15.55,33.0,0x0,0.0,34.0,512,8,135,False
prefill,300,1665.5,69.6,69.1,337,877,97,9,23.95,34.4,0x0,0.0,35.1,512,8,337,False
prefill,300,3574.5,104.4,103.9,495,877,97,17,34.23,36.8,0x0,0.0,37.6,512,8,495,False
prefill,300,4375.5,120.7,120.6,630,877,96,20,36.24,37.9,0x0,0.0,38.9,512,8,630,False
prefill,300,4970.2,134.1,132.9,757,877,96,22,37.07,38.9,0x0,0.0,40.0,512,8,757,False
prefill,300,6145.6,154.9,154.5,877,877,94,27,39.68,40.7,0x0,0.0,41.8,512,8,877,False
prefill,300,6921.7,171.1,170.1,997,877,95,30,40.45,41.7,0x0,0.0,43.2,512,8,997,False
prefill,300,7604.8,203.8,203.8,1110,877,95,33,37.31,44.1,0x0,0.0,44.9,512,8,1110,False
prefill,300,8139.0,238.1,236.1,1215,877,95,36,34.19,46.4,0x0,0.0,46.7,512,8,1215,False
prefill,300,8426.4,260.9,260.2,1320,877,96,38,32.3,48.3,0x0,0.0,48.4,512,8,1320,False
prefill,300,8576.9,275.1,273.8,1425,877,96,40,31.18,49.6,0x4,0.0,49.7,512,8,1425,False
prefill,300,8594.8,276.0,273.2,1471,877,95,40,31.15,50.1,0x4,0.0,50.5,512,8,1530,True
