id,application,model_id,decode_ctx,decode_batch,pre_R2,pre_p,pre_relRMSE_pct,dec_R2,dec_relRMSE_pct,dec_Tmem_ms,dec_Cc_ms,dec_p,dec_P2_W,dec_exponents_railed,dec_Tmax_fit,dec_Tmax_pred,Dmem_GB,BW_impl_GBs
chat-phi3,chat,microsoft/Phi-3-mini-4k-instruct,256,64,0.963,1.03,8.6,0.991,1.6,75.75,11.991,2.46,194.8,False,844.8,844.8,14.5,191.0
rag-phi3,RAG,microsoft/Phi-3-mini-4k-instruct,1024,32,,,,,,,,,,,,,,
code-phi3,code,microsoft/Phi-3-mini-4k-instruct,2048,16,,,,,,,,,,,,,,
longform-phi3,long-gen,microsoft/Phi-3-mini-4k-instruct,4096,8,,,,,,,,,,,,,,
summarize-qwen7b,summarization,Qwen/Qwen2.5-7B-Instruct,32768,4,,,,,,,,,,,,,,
translate-qwen3b,translation,Qwen/Qwen2.5-3B-Instruct,512,64,,,,,,,,,,,,,,
fastchat-qwen15b,chat,Qwen/Qwen2.5-1.5B-Instruct,512,64,,,,,,,,,,,,,,
classify-qwen7b,classification,Qwen/Qwen2.5-7B-Instruct,256,8,,,,,,,,,,,,,,
qwen3chat-4b,chat,Qwen/Qwen3-4B-Instruct-2507,1024,32,,,,,,,,,,,,,,
qwen3think-4b,reasoning,Qwen/Qwen3-4B-Instruct-2507,8192,8,,,,,,,,,,,,,,
