id,decode_ctx,decode_batch,R2_old,R2_additive,relRMSE_old_pct,relRMSE_additive_pct,LOO_old_pct,LOO_additive_pct,R2_power_fit,R2_clock_fit,P_s_W,chi_W,theta,T_mem_ms,Cc_ms,p,exponents_railed,stageI_II_W,stageII_III_W,T_plateau
chat-phi3,256,64,0.928,0.986,3.9,1.7,16.0,6.8,0.998,0.993,88.5,140.4,3.58,77.53,8.819,2.82,False,96.3,176.9,825.5
rag-phi3,1024,32,0.898,0.991,4.6,1.4,15.8,11.8,0.995,0.996,82.5,142.8,3.01,115.37,6.322,3.71,False,95.4,166.8,277.4
code-phi3,2048,16,0.906,0.987,4.1,1.5,14.9,24.7,0.996,0.999,90.7,132.5,3.74,125.13,12.386,2.92,False,96.8,169.3,127.9
longform-phi3,4096,8,0.917,0.997,3.3,0.6,12.6,2.1,0.995,0.999,91.0,116.6,4.02,73.69,12.58,2.17,False,94.3,163.4,108.6
summarize-qwen7b,32768,4,-0.209,0.903,9.3,2.6,9.3,27.5,0.991,0.998,87.3,99.5,2.95,625.0,0.64,8.69,False,96.9,113.7,6.4
translate-qwen3b,512,64,0.91,0.997,3.8,0.7,14.0,10.5,0.995,0.999,88.3,125.4,3.58,114.53,13.642,2.56,False,93.8,165.2,558.8
fastchat-qwen15b,512,64,0.891,0.993,3.7,0.9,12.6,26.1,0.996,0.997,90.8,117.8,3.8,71.09,5.638,3.02,False,95.2,154.5,900.3
classify-qwen7b,256,8,0.44,0.632,12.1,9.8,21.2,18.2,0.927,0.615,84.4,65.8,3.39,53.79,1.173,4.13,False,87.2,109.2,148.7
qwen3chat-4b,1024,32,0.719,0.987,5.4,1.1,12.6,16.6,0.998,0.991,81.7,109.4,2.73,247.68,1.546,6.59,False,95.0,125.7,129.2
qwen3think-4b,8192,8,0.712,0.916,6.0,3.2,13.9,25.4,0.995,0.998,85.5,122.6,2.86,500.0,2.916,6.26,False,97.3,129.3,16.0
