id,application,model_id,decode_ctx,decode_batch,pre_R2,pre_p,pre_relRMSE_pct,dec_R2,dec_relRMSE_pct,dec_Tmem_ms,dec_Cc_ms,dec_p,dec_P2_W,dec_exponents_railed,dec_Tmax_fit,dec_Tmax_pred,Dmem_GB,BW_impl_GBs
chat-phi3,chat,microsoft/Phi-3-mini-4k-instruct,256,64,0.923,1.32,9.1,0.986,1.7,77.53,8.819,2.82,176.9,False,825.5,822.2,14.5,187.0
rag-phi3,RAG,microsoft/Phi-3-mini-4k-instruct,1024,32,0.992,0.92,2.0,0.991,1.4,115.37,6.322,3.71,166.8,False,277.4,287.5,20.73,180.0
code-phi3,code,microsoft/Phi-3-mini-4k-instruct,2048,16,0.992,0.97,2.2,0.987,1.5,125.13,12.386,2.92,169.3,False,127.9,144.4,20.63,165.0
longform-phi3,long-gen,microsoft/Phi-3-mini-4k-instruct,4096,8,0.957,1.19,6.3,0.997,0.6,73.69,12.58,2.17,163.4,False,108.6,72.4,20.58,279.0
summarize-qwen7b,summarization,Qwen/Qwen2.5-7B-Instruct,32768,4,0.986,0.94,2.8,0.903,2.6,625.0,0.64,8.69,113.7,False,6.4,45.7,22.75,36.0
translate-qwen3b,translation,Qwen/Qwen2.5-3B-Instruct,512,64,0.962,1.02,5.2,0.997,0.7,114.53,13.642,2.56,165.2,False,558.8,558.8,7.42,65.0
fastchat-qwen15b,chat,Qwen/Qwen2.5-1.5B-Instruct,512,64,0.95,1.01,5.9,0.993,0.9,71.09,5.638,3.02,154.5,False,900.3,900.3,4.06,57.0
classify-qwen7b,classification,Qwen/Qwen2.5-7B-Instruct,256,8,0.986,0.91,2.7,0.632,9.8,53.79,1.173,4.13,109.2,False,148.7,135.5,15.36,286.0
qwen3chat-4b,chat,Qwen/Qwen3-4B-Instruct-2507,1024,32,0.871,1.18,10.9,0.987,1.1,247.68,1.546,6.59,125.7,False,129.2,127.9,12.95,52.0
qwen3think-4b,reasoning,Qwen/Qwen3-4B-Instruct-2507,8192,8,0.979,0.81,3.1,0.916,3.2,500.0,2.916,6.26,129.3,False,16.0,23.4,17.73,35.0
