id,prefill_seq_len,prefill_batch,R2_v2f,R2_unified,relRMSE_v2f_pct,relRMSE_unified_pct,LOO_v2f_pct,LOO_unified_pct,p,theta,p_over_theta,P_s_W,chi_W,T_fmax,R2_clock_fit
chat-phi3,512,8,0.972,0.923,5.4,9.1,11.9,17.1,1.32,1.5,0.879,38.9,257.2,11599.0,0.925
rag-phi3,4096,2,0.991,0.992,2.2,2.0,2.9,4.8,0.92,2.79,0.329,84.7,232.3,6430.0,0.997
code-phi3,2048,4,0.992,0.992,2.2,2.2,3.1,5.6,0.97,2.79,0.348,87.0,236.1,8118.0,0.992
longform-phi3,256,16,0.956,0.957,6.3,6.3,14.0,16.2,1.19,1.75,0.677,54.9,249.0,11212.0,0.958
summarize-qwen7b,4096,2,0.995,0.986,1.7,2.8,2.3,18.0,0.94,1.97,0.475,71.0,210.5,2479.0,0.984
translate-qwen3b,512,8,0.984,0.962,3.4,5.2,4.5,16.9,1.02,1.94,0.523,64.6,220.8,10214.0,0.964
fastchat-qwen15b,512,16,0.984,0.95,3.4,5.9,5.0,17.2,1.01,1.75,0.577,58.1,218.5,19752.0,0.951
classify-qwen7b,2048,4,0.991,0.986,2.2,2.7,2.7,5.0,0.91,2.13,0.426,78.1,224.2,3519.0,0.992
qwen3chat-4b,512,8,0.849,0.871,11.8,10.9,12.5,18.6,1.18,1.19,0.989,20.2,240.6,6867.0,0.877
qwen3think-4b,2048,4,0.974,0.979,3.4,3.1,5.0,7.1,0.81,2.35,0.346,83.9,193.3,3238.0,0.98
