id,class,class_en,class_short,opt_gpus,tdp_gpus,extra_gpus,opt_capex_usd,tdp_capex_usd,extra_capex_usd,opt_tok_s,tdp_tok_s,extra_tok_s,opt_net_usd_day,tdp_net_usd_day,extra_rev_usd_day,payback_days
longform-phi3,long-gen,long-gen / reasoning,long-gen/CoT,32,20,12,80000,50000,30000,3488,2269,1219,41.8,22.1,19.62,1528.8
qwen3think-4b,long-gen,long-gen / reasoning,long-gen/CoT,32,20,12,80000,50000,30000,539,334,205,-5.7,-9.0,3.3,9103.5
chat-phi3,chat,chat,chat,32,20,12,80000,50000,30000,34119,23526,10593,427.8,290.5,137.28,218.5
fastchat-qwen15b,chat,chat,chat,32,20,12,80000,50000,30000,39890,25658,14232,502.6,318.1,184.45,162.6
qwen3chat-4b,chat,chat,chat,32,20,12,80000,50000,30000,5945,3682,2263,62.7,33.3,29.33,1022.8
translate-qwen3b,balanced,balanced (translate),balanced,32,20,12,80000,50000,30000,31353,20117,11237,324.2,202.9,121.35,247.2
rag-phi3,prompt-heavy,prompt-heavy (RAG/code),RAG/code,32,20,12,80000,50000,30000,58418,39663,18755,306.8,203.7,103.12,290.9
code-phi3,prompt-heavy,prompt-heavy (RAG/code),RAG/code,32,20,12,80000,50000,30000,34883,23129,11755,177.4,112.8,64.63,464.2
summarize-qwen7b,summarize-batch,summarize (batch),summarize,32,20,12,80000,50000,30000,5725,3571,2154,14.1,2.5,10.2,2940.0
classify-qwen7b,classify-batch,classify (batch),classify,32,20,12,80000,50000,30000,66659,49111,17548,282.1,204.1,78.06,384.3
