phase,batch,ctx_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,steps,temp_avg,util_mem_avg,wall_s,window_s
decode,1,256,1,29.251681017254406,69.70979292929303,44.33838383838384,2865.7070707070707,0.4196208278358325,4.03360791015625,13801.0,198,73.963,71.323,4.699591879180478,2872,2865,118,47.833333333333336,23.67676767676768,4.03395620000083,4.03395620000083
decode,2,256,2,58.859746054234904,63.04418274111673,45.69543147208122,2865.710659898477,0.9336269183777874,4.009243408203125,13801.0,197,65.418,64.809,2.969107968572755,2872,2865,118,48.0,26.395939086294415,4.009531399991829,4.009531399991829
decode,3,256,3,88.85442012152673,67.98617766497476,48.47208121827411,2865.7817258883247,1.3069483117493,4.017533935546875,13801.0,197,73.636,68.673,3.1942641016635234,2872,2865,119,49.974619289340104,27.85279187817259,4.017808000004152,4.017808000004152
decode,4,256,4,120.58182524430627,71.57057868020317,51.21827411167513,2865.0,1.6847960079112774,4.013092529296875,13801.0,197,76.77,71.933,3.1865816591145677,2865,2865,121,52.0,30.34517766497462,4.01387190000969,4.01387190000969
decode,6,256,6,193.78075570820945,82.6847664974621,57.96954314720812,2848.096446700508,2.3436089127028894,4.0248994140625,13801.0,197,85.547,82.449,2.004618779990544,2850,2835,130,54.15228426395939,37.2741116751269,4.025167499989038,4.025167499989038
decode,8,256,8,265.53341132807935,91.80451776649736,64.87817258883248,2846.192893401015,2.892378477532635,4.00672216796875,13801.0,197,96.4,90.816,3.2101795427023814,2850,2820,133,55.7005076142132,43.7005076142132,4.007028699998045,4.007028699998045
decode,12,256,12,398.9400500280454,107.80409644670063,81.22842639593908,2843.543147208122,3.700601954632449,4.030371337890625,13801.0,197,113.07,107.508,3.9048132261094834,2850,2797,134,58.84771573604061,55.11675126903553,4.030680800002301,4.030680800002301
decode,16,256,16,469.20489949230597,116.72716751269009,85.76649746192894,2841.3604060913704,4.019671765283742,4.023458251953125,13801.0,197,130.504,117.027,6.989221187621903,2857,2775,118,60.73096446700507,60.90862944162436,4.023828400007915,4.023828400007915
decode,20,256,20,522.9958177336047,122.37960606060618,86.6969696969697,2827.4242424242425,4.273553695495644,4.053216552734375,13801.0,198,131.022,123.611,5.176597904513518,2835,2775,106,62.40909090909091,61.89393939393939,4.053569700015942,4.053569700015942
decode,24,256,24,580.6834466442265,127.42712060301574,89.17085427135679,2822.668341708543,4.5569847603578655,4.05006640625,13801.0,199,141.075,126.878,6.162802781702363,2857,2730,98,63.63316582914573,62.84924623115578,4.050399599975208,4.050399599975208
decode,32,256,32,652.9649254075714,129.88856281407038,90.77386934673366,2820.8040201005024,5.02711640856525,4.067204345703125,13801.0,199,142.048,128.616,5.165785199605812,2835,2722,83,64.50251256281408,65.88442211055276,4.0675998000078835,4.0675998000078835
decode,40,256,40,712.2730835216993,134.48462626262645,93.5,2817.5656565656564,5.29631604233146,4.04303271484375,13801.0,198,151.919,130.557,7.697281657892382,2835,2715,72,65.45959595959596,68.08080808080808,4.043392999999924,4.043392999999924
decode,48,256,48,749.069830646915,134.8969848484852,93.55555555555556,2813.9848484848485,5.552902694513609,4.036664306640625,13801.0,198,147.006,131.454,6.108128996935541,2835,2707,63,65.67676767676768,72.21212121212122,4.037006800004747,4.037006800004747
decode,56,256,56,554.5937095988389,122.46212499999993,95.3970588235294,2827.360294117647,4.528695787361515,5.553201171875,13801.0,272,149.546,131.063,26.153068315219755,2857,2707,55,64.40073529411765,57.18014705882353,5.553615100012394,5.553615100012394
decode,64,256,64,486.78661991320456,115.39370119521891,96.16733067729083,2828.199203187251,4.218485193482757,5.12709423828125,13801.0,251,149.646,130.453,29.973467680586474,2857,2715,39,63.0996015936255,48.091633466135455,5.127503299998352,5.127503299998352
decode,96,256,96,245.50068842469753,83.34494785276037,98.1042944785276,2840.1196319018404,2.9455977206729584,6.6471376953125,13801.0,326,149.223,53.121,39.64026950516439,2857,2722,17,59.15950920245399,22.86196319018405,6.6476392000040505,6.6476392000040505
decode,160,256,160,116.1816021842552,69.81084272997025,98.85163204747775,2843.8694362017804,1.6642343458543825,6.88527783203125,13801.0,337,149.382,55.854,31.91897213306917,2857,2737,5,56.69436201780415,12.308605341246292,6.8857718000072055,6.8857718000072055
decode,256,256,256,50.956720387267254,50.639890466531234,97.98377281947262,2858.689655172414,1.0062565285551994,10.047064453125,13801.0,493,61.221,49.862,2.7787890835692948,2872,2850,2,53.32657200811359,3.7768762677484786,10.047742399998242,10.047742399998242
