context,batch,throughput_tok_s,tok_per_seq_s,beta_eff_gbs,frac_of_ceiling,power_avg_w,sm_clk_avg,util_gpu_avg,tok_per_joule
256,1,19.3,19.33,149.7,0.013,99.3,1290,42,0.19
256,2,37.8,18.9,148.2,0.026,108.3,1290,46,0.35
256,4,75.0,18.75,150.8,0.05,118.1,1290,52,0.63
256,8,167.8,20.98,177.2,0.095,120.2,1290,57,1.4
256,16,324.8,20.3,187.8,0.174,148.5,1289,70,2.19
256,32,457.1,14.28,155.2,0.297,123.9,1049,88,3.69
256,48,421.7,8.79,109.6,0.387,117.7,879,96,3.58
256,64,485.7,7.59,106.9,0.457,120.7,899,99,4.03
256,96,294.6,3.07,53.1,0.558,102.6,759,98,2.87
256,128,284.9,2.23,45.7,0.628,97.4,1026,91,2.93
256,160,296.8,1.85,44.1,0.678,98.3,1106,88,3.02
256,192,204.6,1.07,28.7,0.717,91.9,943,89,2.23
256,224,139.7,0.62,18.8,0.747,85.7,878,84,1.63
128,1,19.8,19.8,152.3,0.007,101.6,1290,39,0.19
128,2,42.0,20.98,162.4,0.013,102.6,1290,42,0.41
128,4,83.0,20.75,162.8,0.026,105.6,1290,45,0.79
128,8,165.9,20.74,166.9,0.05,118.8,1290,50,1.4
128,16,327.0,20.43,172.6,0.095,134.3,1289,58,2.43
128,32,532.5,16.64,154.0,0.174,121.9,1147,64,4.37
128,64,739.0,11.55,125.4,0.297,126.0,849,96,5.87
128,96,722.1,7.52,93.8,0.387,119.9,825,99,6.02
128,128,914.7,7.15,100.7,0.457,130.2,957,98,7.03
128,160,825.9,5.16,81.0,0.513,120.4,747,99,6.86
128,192,637.8,3.32,57.5,0.558,98.1,602,98,6.51
128,224,606.2,2.71,51.2,0.596,99.5,786,95,6.09
128,256,585.8,2.29,47.0,0.628,107.2,821,93,5.46
