context,batch,throughput_tok_s,tok_per_seq_s,beta_eff_gbs,frac_pct,power_avg_w,sm_clk_avg,util_gpu_avg
512,1,22.0,21.6,169.0,3,90.0,1290,43
512,2,42.0,21.0,169.2,5,96.0,1290,48
512,4,84.0,21.0,177.0,10,107.0,1290,55
512,8,166.0,20.7,191.6,17,132.0,1290,69
512,16,309.0,19.3,209.6,30,171.0,1290,97
512,24,380.0,15.8,197.3,39,188.0,1290,100
512,32,380.0,11.9,167.3,46,169.0,1268,100
512,40,345.0,8.6,135.5,51,154.0,1182,99
512,48,317.0,6.6,114.2,56,132.0,1122,97
512,56,260.0,4.7,88.0,60,121.0,1158,94
512,64,228.0,3.6,73.2,63,111.0,894,96
512,80,161.0,2.0,47.8,68,99.0,897,94
512,96,121.0,1.3,34.0,72,100.0,770,95
1024,1,22.0,21.7,174.4,5,108.0,1290,48
1024,2,41.0,20.7,174.5,10,117.0,1290,54
1024,4,83.0,20.7,191.9,17,127.0,1217,68
1024,8,139.0,17.3,188.2,30,126.0,1020,88
1024,12,161.0,13.4,167.4,39,121.0,912,93
1024,16,120.0,7.5,106.0,46,104.0,818,90
1024,20,153.0,7.7,120.4,51,121.0,938,98
1024,24,127.0,5.3,91.9,56,108.0,850,96
1024,32,122.0,3.8,78.5,63,105.0,884,95
1024,40,102.0,2.6,60.6,68,111.0,837,95
1024,48,93.0,1.9,52.1,72,95.0,628,94
2048,1,19.0,19.3,163.0,10,110.0,1240,57
2048,2,38.0,19.0,175.7,17,108.0,1016,81
2048,4,50.0,12.6,136.4,30,102.0,637,100
2048,6,64.0,10.6,132.2,39,111.0,710,99
2048,8,56.0,7.0,98.3,46,101.0,673,100
2048,12,53.0,4.4,76.7,56,101.0,576,100
2048,16,64.0,4.0,82.5,63,104.0,645,100
