cap_w,phase,batch,fixed_len,throughput_tok_s,latency_ms,power_avg_w,sm_clk_avg
100,prefill,1,512,3082.9,166.08,101.5,520
100,prefill,2,512,2111.4,484.98,83.3,446
100,prefill,4,512,1683.5,1216.49,75.3,407
100,prefill,8,512,1766.0,2319.37,76.6,394
100,prefill,16,512,1725.1,4748.66,76.4,383
100,prefill,32,512,1731.5,9462.34,77.4,367
100,prefill,48,512,1731.3,14194.9,78.9,360
100,prefill,64,512,1734.3,18893.55,80.1,350
100,decode,1,256,21.7,46.04,99.4,1365
100,decode,2,256,42.0,47.66,99.8,1322
100,decode,4,256,84.1,47.57,99.6,1246
100,decode,8,256,161.1,49.67,99.7,1140
100,decode,16,256,292.3,54.74,98.7,859
100,decode,24,256,336.8,71.25,99.9,753
100,decode,32,256,358.5,89.25,98.6,790
100,decode,48,256,357.1,134.42,99.2,692
100,decode,64,256,390.6,163.83,99.8,705
120,prefill,1,512,3814.2,134.23,120.3,687
120,prefill,2,512,3964.0,258.33,120.3,644
120,prefill,4,512,3861.5,530.37,118.9,580
120,prefill,8,512,4013.4,1020.59,120.2,579
120,prefill,16,512,4000.5,2047.74,121.5,572
120,prefill,32,512,3931.6,4167.21,117.8,549
120,prefill,48,512,4000.5,6143.26,120.3,559
120,prefill,64,512,3931.4,8334.86,118.8,547
120,decode,1,256,22.3,44.83,116.8,1512
120,decode,2,256,43.0,46.52,117.6,1468
120,decode,4,256,86.7,46.14,118.7,1439
120,decode,8,256,162.9,49.11,118.0,1331
120,decode,16,256,311.4,51.38,118.9,1181
120,decode,24,256,403.7,59.45,116.3,1000
120,decode,32,256,463.2,69.09,116.5,999
120,decode,48,256,444.0,108.1,117.3,973
120,decode,64,256,483.8,132.29,115.4,978
140,prefill,1,512,4854.3,105.47,140.8,852
140,prefill,2,512,4984.6,205.43,140.2,803
140,prefill,4,512,5085.1,402.75,140.2,778
140,prefill,8,512,5101.3,802.93,141.8,757
140,prefill,16,512,5141.1,1593.43,140.5,754
