phase,batch,ctx_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,steps,temp_avg,util_mem_avg,wall_s,window_s
decode,1,256,1,21.530649323031138,105.67500000000004,40.35947712418301,1300.5816993464052,0.20374402009019285,4.040724609375,877.0,153,111.531,107.507,4.654064617520076,1350,1207,87,82.12418300653594,24.81045751633987,4.040751335211098,4.040751335211098
decode,2,256,2,41.17929251836866,103.86936805555553,43.013888888888886,1255.0625,0.3964527106426942,4.031112060546875,877.0,144,106.404,104.25999999999999,2.148780257192851,1297,1237,83,82.0,24.944444444444443,4.031152306124568,4.031152306124568
decode,3,256,3,62.315413279351496,105.8451714285714,45.22857142857143,1242.307142857143,0.588741200361742,4.043892822265625,877.0,140,115.74,103.457,4.780282325707279,1327,1155,84,82.1,26.035714285714285,4.043943331809714,4.043943331809714
decode,4,256,4,81.05638030440619,101.33318399999996,47.536,1163.552,0.7998996686456257,4.046527587890625,877.0,125,109.193,102.279,3.4418923873567002,1297,825,82,82.0,27.032,4.04656609101221,4.04656609101221
decode,6,256,6,126.707032749099,108.06298387096768,55.61290322580645,1162.282258064516,1.1725294657825958,4.07235693359375,877.0,124,118.685,106.881,6.861740822316381,1297,697,86,82.23387096774194,31.60483870967742,4.072386424057186,4.072386424057186
decode,8,256,8,151.74994166253637,107.44264601769909,53.36283185840708,1158.0,1.4123809054138383,4.00654833984375,877.0,113,117.877,110.135,8.994890236699487,1297,705,76,82.1858407079646,28.75221238938053,4.0065913260914385,4.0065913260914385
decode,12,256,12,214.93259626227666,96.21412000000005,97.15,556.41,2.2338986862040264,4.075654052734375,877.0,100,103.155,96.79849999999999,5.5727350758492005,892,472,73,82.05,33.04,4.075696358922869,4.075696358922869
decode,16,256,16,280.1813200551095,111.70415740740748,84.60185185185185,884.4537037037037,2.5082443353762742,4.054476806640625,877.0,108,143.493,102.7065,15.391643435681223,1350,592,71,82.4074074074074,35.68518518518518,4.054517266806215,4.054517266806215
decode,20,256,20,310.2961311093377,111.23246464646466,90.06060606060606,805.5757575757576,2.789618409477542,4.06059716796875,877.0,99,144.397,104.665,15.410858699790603,1357,570,63,82.07070707070707,35.23232323232323,4.060637158108875,4.060637158108875
decode,24,256,24,272.8259737246371,105.82031578947372,88.86842105263158,713.8421052631579,2.578200336005574,4.13446435546875,877.0,76,158.108,102.1575,27.869947752302416,1297,277,47,82.25,29.75,4.134503707988188,4.134503707988188
decode,32,256,32,307.3326672495413,102.85475294117651,95.87058823529412,685.364705882353,2.988025914809279,4.060708984375,877.0,85,161.726,103.365,23.384550330559946,1297,315,39,82.31764705882352,29.176470588235293,4.060746327973902,4.060746327973902
decode,40,256,40,311.03742711336827,106.85821212121212,98.9090909090909,696.6464646464647,2.9107489348647366,4.3724287109375,877.0,99,160.273,97.047,20.123504777517315,1432,337,34,82.1010101010101,30.606060606060606,4.3724641520529985,4.3724641520529985
decode,48,256,48,289.40756924608627,104.79675238095238,96.41904761904762,701.8380952380952,2.761608186044211,5.1415068359375,877.0,105,189.223,103.415,32.97042867603547,1327,135,31,82.9047619047619,27.495238095238093,5.141537948977202,5.141537948977202
decode,56,256,56,259.31733971613374,97.18517808219175,93.10958904109589,668.4657534246576,2.668280748498738,4.103046875,877.0,73,182.709,82.964,32.88356248837998,1297,135,19,81.97260273972603,24.931506849315067,4.103080808883533,4.103080808883533
decode,64,256,64,312.34479148168003,101.49444444444444,98.45679012345678,647.0370370370371,3.0774570292135537,4.0979619140625,877.0,81,185.815,102.306,22.669776054702666,1365,300,20,82.20987654320987,26.753086419753085,4.098035359987989,4.098035359987989
decode,80,256,80,199.36581011738656,95.58409090909088,99.8961038961039,562.2987012987013,2.0857635221639708,4.41396533203125,877.0,77,202.255,77.002,37.74807280887255,1432,135,11,82.75324675324676,20.285714285714285,4.41399655980058,4.41399655980058
