workload,req_clk_mhz,act_clk_mhz,throughput_tok_s,throughput_std,power_avg_w,power_std_w,temp_avg,n_rep
prefill,510,510,3356.2,1.0,111.03,0.63,76.0,3
decode,510,510,245.7,0.3,92.75,0.75,77.0,3
prefill,660,660,4108.1,0.6,123.47,0.38,74.1,3
decode,660,660,269.4,0.1,95.99,0.35,75.1,3
prefill,810,810,5128.6,1.0,142.25,0.07,74.4,3
decode,810,810,327.7,0.6,106.28,0.19,75.8,3
prefill,960,960,6106.6,4.7,168.37,0.18,77.0,3
decode,960,960,331.9,0.4,111.63,0.12,77.8,3
prefill,1110,1030,6309.1,154.0,189.2,3.35,80.9,3
decode,1110,1110,332.3,0.3,127.01,0.33,81.0,3
prefill,1260,830,4976.8,203.4,161.61,4.92,82.5,3
decode,1260,1211,303.2,4.1,128.04,3.79,82.1,3
prefill,1410,625,3227.6,460.7,129.39,4.97,82.4,3
decode,1410,1136,280.2,5.0,116.18,5.31,82.2,3
prefill,1530,357,1845.2,229.3,93.06,5.09,81.7,3
decode,1530,1036,276.3,9.9,116.38,4.76,82.5,3
