phase,batch,seq_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,iters,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,temp_avg,util_mem_avg,wall_s,window_s
prefill,1,128,128,2258.6775125864833,119.4287368421053,95.18947368421053,758.3052631578947,18.91234532248836,4.0235244140625,71,877.0,95,144.099,116.722,7.654181053805307,1042,330,82.66315789473684,23.989473684210527,4.023593429941684,4.023593429941684
prefill,2,128,256,2571.6393602955527,105.82794444444438,94.63333333333334,473.9111111111111,24.300191918076656,4.08127392578125,41,877.0,90,201.912,105.187,10.487968452110692,1297,450,82.0111111111111,16.544444444444444,4.081443207804114,4.081443207804114
prefill,3,128,384,2072.2618878998123,100.06273333333338,95.0,462.32,20.709627039635247,4.0766494140625,22,877.0,75,191.115,106.918,27.754775235663903,915,135,82.02666666666667,12.653333333333334,4.076704807113856,4.076704807113856
prefill,4,128,512,2304.594625247761,104.25998750000001,95.125,497.05,22.10430559708019,4.44326806640625,20,877.0,80,200.036,111.05,23.904417444529866,1132,292,81.9625,13.325,4.443297700956464,4.443297700956464
prefill,6,128,768,2348.4827262332174,102.43497435897437,96.84615384615384,456.1923076923077,22.92657113383136,4.5782119140625,14,877.0,78,201.808,84.207,22.871678090293443,1065,300,82.0,12.833333333333334,4.578275104984641,4.578275104984641
prefill,8,128,1024,2161.155738529232,102.01897468354433,94.17721518987342,417.0632911392405,21.183860602725964,4.73817724609375,10,877.0,79,236.968,80.464,44.59251528840007,1297,135,82.27848101265823,10.924050632911392,4.738205496920273,4.738205496920273
prefill,12,128,1536,2144.980494863701,101.26534939759036,96.2289156626506,385.8192771084337,21.181781405227063,5.01255908203125,7,877.0,83,224.503,82.369,40.68533596060525,975,135,82.07228915662651,10.855421686746988,5.012632993981242,5.012632993981242
prefill,16,128,2048,2339.110015617573,101.49448484848483,96.45454545454545,428.6666666666667,23.046671147791855,6.12876611328125,7,877.0,99,198.496,88.137,24.18025874086179,1297,157,81.9090909090909,12.171717171717171,6.128826735075563,6.128826735075563
prefill,24,128,3072,2281.4775529714893,102.19113043478255,96.21739130434783,407.0,22.32559267389167,5.38591650390625,4,877.0,92,192.226,85.41,36.07999921678196,1297,135,81.82608695652173,12.01086956521739,5.385983300162479,5.385983300162479
prefill,32,128,4096,2498.9903314758785,105.66529032258065,96.40860215053763,456.4301075268817,23.65005882108332,6.5562265625,4,877.0,93,232.02,88.045,24.45163231553688,1297,322,82.0752688172043,12.78494623655914,6.556247854838148,6.556247854838148
prefill,48,128,6144,2797.523231666247,111.98386666666666,97.03333333333333,463.775,24.9814845203855,6.5886630859375,3,877.0,120,196.096,122.065,29.250235836352196,1297,142,82.29166666666667,14.558333333333334,6.588685231050476,6.588685231050476
prefill,64,128,8192,2356.991806669379,103.07260169491528,95.59322033898304,409.03389830508473,22.86729710816694,6.951146484375,2,877.0,118,239.728,88.3925,33.18517558431313,1297,135,82.05084745762711,12.254237288135593,6.951233327854425,6.951233327854425
