phase,batch,ctx_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,steps,temp_avg,util_mem_avg,wall_s,window_s
decode,1,256,1,19.918320127927778,87.20420512820509,21.397435897435898,1296.2820512820513,0.22841008754846676,4.016386962890625,877.0,156,91.583,86.9685,1.4985468504690214,1297,1200,80,81.97435897435898,10.044871794871796,4.01640296401456,4.01640296401456
decode,2,256,2,39.18844443052586,88.20702976190472,25.375,1297.0,0.44427801884165424,4.031787109375,877.0,168,94.849,87.5615,1.6516409352144714,1297,1297,79,81.38095238095238,11.0,4.031800759024918,4.031800759024918
decode,3,256,3,58.54459218354674,87.12173793103447,26.889655172413793,1261.655172413793,0.6719860458923651,4.048183349609375,877.0,145,100.331,87.855,2.8015234132107723,1297,1185,79,81.9103448275862,11.86896551724138,4.048196275020018,4.048196275020018
decode,4,256,4,77.84620718967552,90.72708641975315,27.37037037037037,1297.0,0.8580260896896476,4.007889892578125,877.0,162,95.072,90.1635,1.5020900023792432,1297,1297,78,82.0,12.993827160493828,4.007902391953394,4.007902391953394
decode,6,256,6,116.0242089955554,93.13130061349695,28.74846625766871,1297.0,1.2458132575326746,4.033627197265625,877.0,163,97.835,92.734,1.5386232756845164,1297,1297,78,82.0,14.828220858895705,4.033640944864601,4.033640944864601
decode,8,256,8,153.586612717956,96.50657594936713,31.088607594936708,1297.0,1.5914626667361644,4.0107529296875,877.0,158,101.133,96.2945,1.6478950412621862,1297,1297,77,82.0,16.88607594936709,4.010766232153401,4.010766232153401
decode,12,256,12,228.0390565162289,91.8236557377049,38.58196721311475,1168.0409836065573,2.4834456293879708,4.051918701171875,877.0,122,97.713,92.304,3.5090375771070117,1230,510,77,82.0,21.30327868852459,4.051937479991466,4.051937479991466
decode,16,256,16,308.71730448006747,99.09594999999997,41.925,1200.3833333333334,3.115337251220333,4.042513427734375,877.0,120,108.104,97.981,4.9579754518183465,1297,1065,78,82.275,25.491666666666667,4.042533352971077,4.042533352971077
decode,20,256,20,388.0803146397324,98.65951999999999,49.78666666666667,1099.3466666666666,3.9335313474029925,4.019770263671875,877.0,75,112.603,97.596,4.659706260727887,1260,885,78,82.08,29.613333333333333,4.019786474993452,4.019786474993452
decode,24,256,24,381.51247210719856,95.84316049382717,73.80246913580247,822.7283950617284,3.9805915220394894,4.02606494140625,877.0,81,124.157,93.894,16.34199805277671,1350,277,64,82.54320987654322,29.19753086419753,4.026080698007718,4.026080698007718
decode,32,256,32,521.7798906112765,105.06892134831465,77.17977528089888,867.7078651685393,4.96607259230844,4.0476640625,877.0,89,127.09,108.941,16.553385582102802,1297,315,66,82.20224719101124,37.662921348314605,4.04768378008157,4.04768378008157
decode,40,256,40,612.1032916503231,100.45285714285718,98.3265306122449,609.1734693877551,6.093438345709088,4.11692724609375,877.0,98,116.825,97.94,6.500547024077657,915,457,63,82.16326530612245,40.39795918367347,4.11695221113041,4.11695221113041
decode,48,256,48,578.9396598483665,101.02697468354432,98.84810126582279,634.1139240506329,5.7305453485252835,4.22839697265625,877.0,79,122.762,104.233,17.371410567748466,930,292,51,82.17721518987342,41.164556962025316,4.228419936960563,4.228419936960563
decode,56,256,56,629.2812814098525,102.98192753623191,96.6086956521739,616.8840579710145,6.110599174679982,4.18252587890625,877.0,69,145.496,100.627,23.220358849115694,1215,270,47,82.42028985507247,40.666666666666664,4.182549326913431,4.182549326913431
decode,64,256,64,680.8931338262363,103.03388888888885,98.70833333333333,605.6111111111111,6.60843865226234,4.1357177734375,877.0,72,146.738,102.78049999999999,22.57570762183421,1200,270,44,82.43055555555556,42.65277777777778,4.135744451079518,4.135744451079518
decode,80,256,80,598.4835183814479,99.26118181818185,99.96103896103897,559.4415584415584,6.029381349475557,4.277458984375,877.0,77,142.68,104.232,26.28171434332405,1042,135,32,82.28571428571429,38.298701298701296,4.277477860916406,4.277477860916406
