phase,batch,seq_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,iters,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,temp_avg,util_mem_avg,wall_s,window_s
prefill,1,128,128,2346.0688922966942,101.21624999999996,39.50961538461539,1157.6923076923076,23.178777047131216,4.037360595703125,74,877.0,104,127.314,94.9725,11.118842408056349,1432,1050,82.3076923076923,10.884615384615385,4.0373920949641615,4.0373920949641615
prefill,2,128,256,4648.968126193933,95.95045977011495,59.40229885057471,883.9540229885057,48.451754554717795,4.019766357421875,73,877.0,87,116.974,95.603,2.6047743732879973,1192,795,81.97701149425288,13.862068965517242,4.01981676206924,4.01981676206924
prefill,3,128,384,5774.686748491622,102.01704950495045,93.24752475247524,648.0792079207921,56.60511430701004,4.05627587890625,61,877.0,101,132.857,101.18,3.97171961255041,1297,615,81.99009900990099,15.009900990099009,4.056323922006413,4.056323922006413
prefill,4,128,512,4847.805945966463,97.40358904109584,93.64383561643835,548.6712328767123,49.770301009351,4.1189296875,39,877.0,73,157.537,101.919,18.58411334640985,1260,300,82.35616438356165,12.945205479452055,4.1189767541363835,4.1189767541363835
prefill,6,128,768,5421.45396290289,102.24802739726029,94.73972602739725,516.2602739726027,53.02257755877408,4.10807421875,29,877.0,73,190.152,102.249,24.91391582260179,1185,315,82.1917808219178,15.123287671232877,4.108123051933944,4.108123051933944
prefill,8,128,1024,5722.520966905626,103.50718840579711,95.17391304347827,548.7536231884058,55.286217846731944,4.11563330078125,23,877.0,69,196.568,108.936,20.89328001408855,997,337,82.21739130434783,16.17391304347826,4.115668625105172,4.115668625105172
prefill,12,128,1536,2957.8016255586035,77.457921875,95.15625,247.234375,38.1859150614942,4.15442333984375,8,877.0,64,142.422,68.9365,16.376623541942994,675,135,81.65625,6.921875,4.154436826938763,4.154436826938763
prefill,16,128,2048,4909.123028715998,96.23633333333329,93.5,422.8666666666667,51.01111876023262,4.17177392578125,10,877.0,60,201.619,83.583,25.2174276547435,1155,315,81.93333333333334,13.116666666666667,4.171824556076899,4.171824556076899
prefill,24,128,3072,5068.629129408692,97.45843181818181,97.1590909090909,419.77272727272725,52.008112944652275,5.454671875,9,877.0,88,183.027,84.1685,25.496726934235845,1297,135,81.86363636363636,15.818181818181818,5.4547293349169195,5.4547293349169195
prefill,32,128,4096,6275.432873298396,108.97610810810811,95.06756756756756,492.9189189189189,57.58540089423039,4.5689130859375,7,877.0,74,231.227,116.9625,25.161382723986122,1297,337,82.16216216216216,18.283783783783782,4.568927845917642,4.568927845917642
prefill,48,128,6144,6091.312166095705,104.9522025316456,96.15189873417721,465.30379746835445,58.038916946588415,5.04318994140625,5,877.0,79,233.494,85.739,26.61048741788111,952,300,82.07594936708861,17.430379746835442,5.043248344911262,5.043248344911262
prefill,64,128,8192,6392.352340745767,107.1113205128205,96.71794871794872,458.5128205128205,59.679521362829675,5.126046875,4,877.0,78,224.1,115.137,22.86130972788293,877,330,82.2051282051282,18.397435897435898,5.126125446986407,5.126125446986407
