phase,batch,ctx_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,steps,temp_avg,util_mem_avg,wall_s,window_s
decode,1,256,1,16.063951553433704,92.52413207547171,27.27672955974843,1296.811320754717,0.1736190461136169,4.0463115234375,877.0,159,97.458,92.061,1.8043052988579535,1297,1267,65,82.0,15.465408805031446,4.046326944138855,4.046326944138855
decode,2,256,2,31.53849083790944,95.47129999999996,30.91875,1295.55,0.33034525389210634,4.058516357421875,877.0,160,102.66,94.8945,1.9251122817903374,1297,1132,64,82.0,16.64375,4.058532814960927,4.058532814960927
decode,3,256,3,46.77617475300106,97.34980379746834,32.15822784810127,1296.5253164556962,0.480495829763732,4.0404970703125,877.0,158,103.028,97.06899999999999,2.734460121798652,1297,1222,63,82.0,17.78481012658228,4.040518511785194,4.040518511785194
decode,4,256,4,62.24334329249764,98.7300696202531,32.65822784810127,1296.2911392405063,0.630439576634607,4.04860107421875,877.0,158,104.066,98.4015,1.8220148470163344,1297,1192,63,82.0,19.063291139240505,4.048625711118802,4.048625711118802
decode,6,256,6,88.30609694164283,100.81862658227848,33.09493670886076,1295.5759493670887,0.8758906953525684,4.008753173828125,877.0,158,107.818,101.46350000000001,3.3058651608656136,1297,1102,59,82.04430379746836,20.29746835443038,4.00878322403878,4.00878322403878
decode,8,256,8,121.21251832968211,99.51833571428575,38.92142857142857,1242.3,1.2179918148719822,4.02596044921875,877.0,140,107.025,98.7515,2.824894189195953,1297,1185,61,82.07142857142857,23.87142857142857,4.025986809981987,4.025986809981987
decode,12,256,12,181.34198421064073,98.88257798165137,47.137614678899084,1146.7064220183486,1.8339123828698167,4.036538330078125,877.0,109,109.828,98.584,3.7157528736759105,1365,1072,61,82.11926605504587,29.724770642201836,4.036572132958099,4.036572132958099
decode,16,256,16,248.02495995918454,99.4665641025641,59.26923076923077,1037.5384615384614,2.4935510962602034,4.06407568359375,877.0,78,105.8,100.7465,5.30303464788418,1147,495,63,82.0,35.57692307692308,4.064107096986845,4.064107096986845
decode,20,256,20,242.42740253702155,98.76666666666667,80.45679012345678,779.0617283950618,2.4545467688527327,4.042408935546875,877.0,81,120.886,100.818,16.80732011966626,1207,277,49,81.98765432098766,33.925925925925924,4.042447304818779,4.042447304818779
decode,24,256,24,367.75326237371837,111.51856862745099,81.3921568627451,924.9313725490196,3.2976863575273114,4.046162841796875,877.0,102,136.126,105.703,10.744167687825513,1297,690,62,82.29411764705883,45.46078431372549,4.046191161964089,4.046191161964089
decode,32,256,32,154.15086960790708,74.89436764705886,98.47058823529412,247.83823529411765,2.0582438232784876,4.1517373046875,877.0,68,130.56,68.1665,14.518801736029381,1050,135,20,82.47058823529412,17.544117647058822,4.151776773156598,4.151776773156598
decode,40,256,40,318.418594583002,99.35679487179488,99.53846153846153,571.6153846153846,3.2047993797895122,4.27107421875,877.0,78,142.66,102.434,28.999688058604768,1072,135,34,82.28205128205128,36.32051282051282,4.271107350941747,4.271107350941747
decode,48,256,48,389.09343015594504,107.81527397260274,98.93150684931507,684.986301369863,3.608889685285396,4.070975341796875,877.0,73,157.554,108.654,20.530521554378545,1155,292,33,82.21917808219177,43.945205479452056,4.071001659845933,4.071001659845933
decode,56,256,56,385.590662891456,103.10747368421053,99.96052631578948,608.0131578947369,3.739696542972363,4.2116923828125,877.0,76,143.591,104.92,22.370143349700502,1050,300,29,82.35526315789474,41.75,4.211720241932198,4.211720241932198
decode,64,256,64,369.15986383482374,98.8259733333334,99.64,530.12,3.7354538628187575,4.16076806640625,877.0,75,138.478,102.53,15.554516659348678,967,300,24,82.28,39.13333333333333,4.160799020901322,4.160799020901322
decode,80,256,80,405.4055331787601,106.78243421052633,99.94736842105263,637.7105263157895,3.7965563922197636,4.3412958984375,877.0,76,140.493,106.16900000000001,23.410426006339637,1012,292,22,82.25,42.75,4.341331965057179,4.341331965057179
