workload,req_clk_mhz,act_clk_mhz,throughput_tok_s,throughput_std,power_avg_w,power_std_w,temp_avg,n_rep
prefill,510,510,3719.7,2.3,105.78,0.92,75.2,3
decode,510,510,248.5,4.2,86.76,0.97,76.1,3
prefill,660,660,4456.5,1.5,115.22,0.69,72.6,3
decode,660,660,248.5,3.6,85.46,0.89,73.2,3
prefill,810,810,5525.8,1.4,130.92,0.41,72.2,3
decode,810,810,251.3,3.6,85.89,0.31,72.5,3
prefill,960,960,6545.8,4.2,153.78,0.34,73.7,3
decode,960,960,245.3,1.2,89.29,0.11,73.5,3
prefill,1110,1110,7299.7,1.5,186.33,0.17,77.4,3
decode,1110,1110,244.4,1.6,99.72,0.29,76.8,3
prefill,1260,1123,6999.5,236.0,196.35,5.86,81.4,3
decode,1260,1260,248.9,5.8,116.06,3.37,80.5,3
prefill,1410,804,5419.7,316.6,145.38,8.69,82.5,3
decode,1410,1361,251.5,0.9,125.48,3.2,82.1,3
prefill,1530,565,3102.1,304.2,114.89,9.28,82.0,3
decode,1530,1212,251.2,3.4,111.13,3.23,82.0,3
