phase,batch,seq_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,iters,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,temp_avg,util_mem_avg,wall_s,window_s
prefill,1,128,128,6790.9131713162315,166.9389,53.94615384615385,1384.3846153846155,40.679033893935035,4.014709716796875,213,877.0,130,196.854,179.1395,26.99584459956469,1530,1012,81.99230769230769,21.853846153846153,4.01477670413442,4.01477670413442
prefill,2,128,256,10878.094109740989,124.03596907216499,95.01030927835052,758.5463917525773,87.70112565825191,4.02421240234375,171,877.0,97,193.092,119.236,9.213002383401909,1132,697,82.28865979381443,20.47422680412371,4.024234351934865,4.024234351934865
prefill,3,128,384,7456.438704944164,106.1320142857143,94.38571428571429,535.9142857142857,70.25626296765597,4.016902099609375,78,877.0,70,228.461,92.4425,42.03608600425281,1432,135,82.04285714285714,12.8,4.016931029036641,4.016931029036641
prefill,4,128,512,10664.80729164335,113.90013000000005,96.07,559.78,93.6329685632786,4.0806513671875,85,877.0,100,221.306,105.859,16.054876515037417,1297,472,82.28,14.22,4.080711334943771,4.080711334943771
prefill,6,128,768,8252.255722842276,105.98548648648647,96.08108108108108,501.94594594594594,77.8621299614874,4.094868408203125,44,877.0,74,203.365,110.2325,23.646845758025982,1080,232,81.83783783783784,12.432432432432432,4.094880373915657,4.094880373915657
prefill,8,128,1024,7223.184214009357,96.74123611111109,96.97222222222223,446.5138888888889,74.66499813702244,4.1111611328125,29,877.0,72,131.098,78.924,27.395947420544733,735,135,81.36111111111111,8.61111111111111,4.111206238158047,4.111206238158047
prefill,12,128,1536,7472.68738258583,100.82779166666666,95.0,444.5833333333333,74.11336952901128,4.11092578125,20,877.0,72,218.381,83.53399999999999,31.22423380562386,1012,150,81.79166666666667,11.38888888888889,4.110970849869773,4.110970849869773
prefill,16,128,2048,8090.53693034232,104.4237536231884,96.79710144927536,478.6521739130435,77.4779362896387,4.3032431640625,17,877.0,69,217.317,109.834,24.63678439656983,1005,330,81.98550724637681,11.08695652173913,4.303299064049497,4.303299064049497
prefill,24,128,3072,8045.046862114668,102.79134117647055,98.30588235294118,448.0705882352941,78.2658030339643,4.96399951171875,13,877.0,85,137.697,82.947,26.428587194908715,660,165,81.58823529411765,10.564705882352941,4.964048150926828,4.964048150926828
prefill,32,128,4096,9923.499337107389,112.71753488372092,95.06976744186046,507.1860465116279,88.03864764558986,4.54023291015625,11,877.0,86,228.411,123.12299999999999,24.429529593419513,1297,345,82.26744186046511,13.36046511627907,4.540333854965866,4.540333854965866
prefill,48,128,6144,10349.135460240805,118.05479746835448,94.78481012658227,515.367088607595,87.66382800338945,4.74937451171875,8,877.0,79,245.66,124.467,27.943104644059407,1297,337,82.29113924050633,12.164556962025317,4.749382225098088,4.749382225098088
prefill,64,128,8192,8791.957349652012,107.11583333333336,95.07692307692308,458.4102564102564,82.07897073714912,4.65875341796875,5,877.0,78,253.228,84.255,38.676302046408765,1410,142,82.14102564102564,10.0,4.658803309779614,4.658803309779614
