phase,batch,seq_len,load_tokens,throughput_tok_s,power_avg_w,util_gpu_avg,sm_clk_avg,tok_per_joule,cuda_s,iters,mem_clk_avg,n_samples,power_max_w,power_p50_w,power_std_w,sm_clk_max,sm_clk_min,temp_avg,util_mem_avg,wall_s,window_s
prefill,1,128,128,2838.572166525449,198.87847239263803,74.96932515337423,1530.0,14.272898078789375,4.013097900390625,89,877.0,163,209.167,199.686,9.510075558725777,1530,1530,41.736196319018404,29.662576687116566,4.013285317999987,4.013285317999987
prefill,2,128,256,5784.342057736995,243.84772847682126,90.0794701986755,1521.112582781457,23.72112339888711,4.02715966796875,91,877.0,151,257.909,244.271,8.55182350171125,1530,1500,47.51655629139073,37.51655629139073,4.027424341,4.027424341
prefill,3,128,384,6641.655449086458,242.47388815789472,93.83552631578948,1461.8026315789473,27.391219316619896,4.047015869140625,70,877.0,152,253.491,243.2425,5.83288111141139,1492,1447,49.19736842105263,38.276315789473685,4.047183748999998,4.047183748999998
prefill,4,128,512,7188.340424932259,240.98275641025643,94.7051282051282,1429.0,29.829272982066023,4.059707275390625,57,877.0,156,250.192,242.03750000000002,5.26763310271004,1440,1417,50.17307692307692,37.32051282051282,4.059907888999987,4.059907888999987
prefill,6,128,768,7879.118655388067,244.1704640522877,95.51633986928104,1345.450980392157,32.268926079858694,4.09364794921875,42,877.0,153,254.106,244.917,5.417897252704653,1432,1327,50.72549019607843,38.72549019607843,4.093858896,4.093858896
prefill,8,128,1024,7716.314663818363,242.13684768211934,95.23178807947019,1365.0529801324503,31.867577106432186,4.11367138671875,31,877.0,151,255.36,243.232,6.899303680911213,1507,1350,51.17218543046358,36.94701986754967,4.1138809629999855,4.1138809629999855
prefill,12,128,1536,8102.520448892461,243.07913071895422,95.97385620915033,1327.1699346405228,33.33285101410256,4.17036572265625,22,877.0,153,250.513,244.709,7.041225792619572,1342,1305,51.51633986928105,37.52287581699346,4.170554114999987,4.170554114999987
prefill,16,128,2048,8082.141890838898,238.9277006369428,95.50955414012739,1306.8407643312103,33.826726115445,4.30755224609375,17,877.0,157,248.948,238.971,4.938304754979883,1425,1290,51.63057324840764,37.35668789808917,4.30776896399999,4.30776896399999
prefill,24,128,3072,8257.891255803133,244.09020945945963,95.81756756756756,1297.2837837837837,33.83130881853197,4.46387109375,12,877.0,148,262.323,243.8725,4.692291089178739,1522,1267,52.12162162162162,38.54054054054054,4.464093659999975,4.464093659999975
prefill,32,128,4096,8408.299983918641,243.99831927710852,96.8012048192771,1288.789156626506,34.46048320672794,4.87113427734375,10,877.0,166,254.942,245.051,4.812672404721784,1425,1260,52.493975903614455,38.10843373493976,4.871377101000007,4.871377101000007
prefill,48,128,6144,8399.410755087381,243.88128571428567,96.25142857142858,1290.5314285714285,34.440571077387,5.120109375,7,877.0,175,259.887,245.032,8.92923628848012,1432,1252,52.90857142857143,37.565714285714286,5.1203591839999945,5.1203591839999945
prefill,64,128,8192,8502.665697272829,246.19397409326436,97.0,1294.0103626943005,34.53644927171048,5.78047998046875,6,877.0,193,258.65,247.065,6.013172086625352,1305,1275,53.461139896373055,37.461139896373055,5.780775317999996,5.780775317999996
