batch,cuda_s,iters,n_samples,phase,power_avg_w,power_max_w,power_p50_w,seq_len,sm_clk_avg,temp_avg,throughput_tok_s,tokens_per_iter,total_tokens,util_gpu_avg,util_mem_avg,wall_s,window_s
1,4.006695068359375,318,200,prefill,113.03573499999989,121.961,121.629,64,2806.875,57.265,5079.362386801096,64,20352,87.48,58.88,4.0068021239999325,4.0068021239999325
1,4.014146728515625,266,199,prefill,136.10643718592974,145.076,144.798,128,2741.6984924623116,62.57286432160804,8481.770611186997,128,34048,92.82914572864321,53.82914572864322,4.014256168999964,4.014256168999964
1,4.028062744140625,159,200,prefill,136.66029500000036,145.275,144.955,256,2693.125,64.58,10104.828758129841,256,40704,73.625,29.45,4.028173161000041,4.028173161000041
1,4.06570654296875,89,202,prefill,136.52523267326723,145.318,144.892,512,2683.490099009901,66.14851485148515,11207.588773661268,512,45568,97.0,27.0,4.065816557000062,4.065816557000062
1,4.14765576171875,47,206,prefill,137.19061165048575,145.42,144.92,1024,2670.9757281553398,67.80582524271844,11603.316974415136,1024,48128,77.13106796116504,20.689320388349515,4.147779475999869,4.147779475999869
1,4.30919189453125,24,215,prefill,138.48580465116288,147.556,144.997,2048,2688.139534883721,69.30232558139535,11405.975974818177,2048,49152,99.53953488372093,24.693023255813955,4.3093199659999755,4.3093199659999755
1,4.65925537109375,12,231,prefill,138.05910822510774,145.446,144.963,4096,2705.246753246753,69.70995670995671,10549.033978984757,4096,49152,81.35497835497836,20.99134199134199,4.659383986999956,4.659383986999956
1,5.201724609375,6,259,prefill,139.2403745173743,145.716,145.016,8192,2695.3397683397684,70.7104247104247,9448.941650395946,8192,49152,100.0,31.235521235521237,5.201852421000012,5.201852421000012
2,6.91398828125,4,344,prefill,140.54895639534888,145.46,144.985,8192,2698.7151162790697,71.67441860465117,9478.568759264388,16384,65536,100.0,31.22093023255814,6.914124026999843,6.914124026999843
4,10.4137109375,3,518,prefill,142.20479536679557,145.289,144.958,8192,2677.799227799228,71.98455598455598,9439.752936176543,32768,98304,91.11969111969113,27.853281853281853,10.413831872999936,10.413831872999936
4,6.34398779296875,4,316,prefill,139.78820569620257,145.269,144.935,4096,2668.9556962025317,70.94620253164557,10330.212410120686,16384,65536,84.9620253164557,28.360759493670887,6.3441096269998525,6.3441096269998525
8,9.578935546875,3,476,prefill,141.6111806722688,145.735,144.863,4096,2649.4306722689075,72.6029411764706,10262.384930823297,32768,98304,90.75630252100841,30.695378151260503,9.579059902999916,9.579059902999916
2,8.1178564453125,2,403,prefill,140.89275186104183,145.89,144.794,16384,2715.620347394541,74.23325062034739,8072.948684892806,32768,65536,92.06451612903226,24.21588089330025,8.117975545000036,8.117975545000036
