batch,n_samples,phase,power_avg_w,power_max_w,power_p50_w,seq_len,sm_clk_avg,sm_clk_max,sm_clk_min,temp_avg,throughput_tok_s,util_gpu_avg,util_mem_avg,window_s
1,149,prefill,100.06615436241603,111.748,109.816,1,2813.3422818791946,2820,2812,53.85906040268456,83.40849563087441,89.32885906040268,58.993288590604024,3.0092857820000063
1,150,prefill,82.94295333333336,88.766,88.56,2,2827.8533333333335,2835,2827,51.24,169.8471094069026,88.0,61.333333333333336,3.002700498000195
1,150,prefill,83.66212666666678,90.095,89.869,4,2816.7066666666665,2835,2812,52.1,337.1941917236345,60.7,42.2,3.001237936000507
1,150,prefill,85.68663333333312,93.067,87.626,8,2815.8333333333335,2835,2812,53.2,671.3200501306765,86.66666666666667,60.85333333333333,3.0030385649997697
1,149,prefill,90.46607382550336,97.771,96.559,16,2814.51677852349,2827,2812,54.939597315436245,1340.3048082366945,83.97315436241611,58.369127516778526,3.008270936000372
1,149,prefill,100.96779194630867,108.564,108.301,32,2812.0,2812,2812,57.53020134228188,2558.7748159724233,88.26174496644295,59.328859060402685,3.0014364499993462
1,149,prefill,108.26920134228182,116.421,116.023,48,2806.912751677852,2820,2805,58.939597315436245,3746.784205369589,88.33557046979865,59.0,3.0105817099993146
1,149,prefill,113.55183221476518,123.558,123.46,64,2798.5234899328857,2820,2790,60.16107382550336,5012.261416120075,59.73154362416108,40.26845637583892,3.000641576999442
1,150,prefill,128.53965333333304,140.456,132.193,96,2767.5,2805,2760,64.46666666666667,6435.331089084414,90.0,53.333333333333336,3.013364771999477
1,150,prefill,133.81780666666708,145.368,145.075,128,2738.846666666667,2752,2730,66.66666666666667,8349.373584452696,91.40666666666667,53.666666666666664,3.0047763160000613
1,149,prefill,134.8395906040269,146.579,144.965,192,2700.9194630872485,2752,2685,67.25503355704699,9434.628925355977,83.48322147651007,39.32214765100671,3.011883162000231
1,150,prefill,134.3876066666668,145.448,144.943,256,2695.28,2797,2670,67.15333333333334,9984.938786819743,94.33333333333333,38.0,3.0253565540006093
1,149,prefill,134.03841610738235,145.22,144.807,384,2686.496644295302,2820,2647,67.40268456375838,10730.860737313327,64.42953020134229,21.469798657718123,3.0059098510000695
1,149,prefill,133.335033557047,145.161,140.631,512,2678.442953020134,2797,2647,69.32885906040268,11078.807808707226,96.79865771812081,29.0,3.003933326999686
1,151,prefill,135.21009271523198,147.469,144.844,768,2667.980132450331,2745,2647,70.84105960264901,11403.856025632806,98.0,27.980132450331126,3.0305538689999594
1,151,prefill,136.44650993377482,147.879,145.033,1024,2662.2119205298013,2730,2640,70.9271523178808,11487.110537985815,98.0,27.0,3.030875335000019
1,153,prefill,135.46026143790843,146.71,144.978,1536,2669.3660130718954,2730,2647,70.9673202614379,11431.036722900255,99.0,24.99346405228758,3.0905333309992784
1,153,prefill,135.91066013071855,145.982,144.71,2048,2674.470588235294,2752,2655,71.16339869281046,11339.94757185586,99.67320261437908,24.326797385620914,3.0702081979998184
1,154,prefill,134.98285714285717,146.389,144.995,3072,2698.1428571428573,2797,2677,71.18831168831169,10896.95110541005,86.38311688311688,22.383116883116884,3.1010508970002775
1,154,prefill,133.78158441558443,145.168,144.971,4096,2711.525974025974,2820,2685,69.4090909090909,10528.076899293419,99.48701298701299,25.675324675324674,3.1124392720003016
8,150,prefill,87.25398666666682,104.192,88.61500000000001,1,2813.233333333333,2820,2797,60.34,679.833230337025,57.02,41.013333333333335,3.0007359289993474
8,150,prefill,90.44201999999993,97.569,93.289,2,2813.3333333333335,2820,2812,60.666666666666664,1310.1771047383345,87.74666666666667,60.20666666666666,3.004174004999186
