t_s,phase,work_done,temp_c_g0,sm_clk_mhz_g0,power_w_g0,temp_c_g1,sm_clk_mhz_g1,power_w_g1,temp_c_g2,sm_clk_mhz_g2,power_w_g2,temp_c_g3,sm_clk_mhz_g3,power_w_g3
0.0,run,0,41,1432,57.2,40,1297,54.2,42,1297,57.6,49,1297,103.7
0.063,run,0,41,1432,56.7,39,1297,53.9,42,1297,53.1,48,1297,58.7
0.124,run,0,41,1432,56.8,39,1297,53.8,42,1297,53.1,48,1297,58.2
0.19,run,0,41,1432,56.7,40,1297,53.9,42,1297,53.2,48,1297,58.2
0.056,run,12,43,1350,275.4,41,1297,260.6,44,1297,243.7,49,1297,262.2
0.125,run,24,44,1260,262.1,43,1215,253.4,45,1282,246.1,51,1222,255.8
0.207,run,52,44,1252,254.3,44,1230,255.1,46,1252,254.2,52,1222,256.9
0.308,run,96,45,1245,257.2,44,1230,260.8,47,1275,251.6,53,1215,251.5
0.45,run,172,46,1245,248.2,46,1222,259.2,48,1267,253.0,55,1215,259.3
0.684,run,200,48,1245,253.8,47,1215,251.2,49,1275,247.2,55,1207,248.5
0.776,run,212,48,1237,244.3,47,1222,253.4,50,1267,253.0,56,1222,258.6
0.875,run,276,49,1215,239.6,48,1102,228.9,50,1267,258.0,57,1162,241.3
1.041,run,304,49,1185,233.4,48,1177,224.6,51,1222,246.3,57,1177,237.5
1.159,run,364,49,1252,256.3,49,1215,255.1,52,1252,252.6,58,1215,250.0
1.375,run,388,50,1252,251.6,49,1215,258.6,52,1252,251.7,59,1200,256.9
1.458,run,436,50,1252,263.3,50,1207,249.2,53,1260,246.4,59,1215,248.7
1.603,run,452,50,1252,252.3,50,1215,249.2,53,1275,242.8,59,1200,256.7
1.681,run,476,51,1252,252.2,50,1215,263.5,53,1260,244.1,60,1215,253.4
1.762,run,524,51,1252,252.9,50,1222,262.6,53,1252,252.9,60,1200,245.1
1.944,run,564,51,1230,248.5,50,1147,242.6,54,1275,245.2,61,1185,242.9
2.052,run,592,51,1162,234.3,51,1162,236.1,54,1260,246.6,61,1177,246.0
2.155,run,620,51,1170,228.5,51,1170,242.1,54,1267,241.6,61,1177,246.2
2.272,run,652,51,1245,252.7,51,1222,245.3,54,1252,251.5,61,1192,251.0
2.355,run,684,51,1245,251.2,51,1200,245.4,55,1267,247.9,62,1215,250.1
2.461,run,700,52,1245,258.0,51,1207,256.7,55,1267,253.3,62,1215,255.3
2.54,run,724,52,1237,258.0,51,1230,261.3,55,1260,243.4,62,1207,251.7
2.623,run,812,52,1252,251.2,52,1207,256.3,55,1267,241.7,63,1200,243.9
2.909,run,832,52,1230,252.3,52,1207,248.4,55,1267,240.9,63,1200,254.7
3.019,run,864,52,1200,244.6,52,1185,245.2,56,1260,251.3,63,1200,244.8
3.121,run,896,52,1200,237.4,52,1185,236.1,56,1267,251.3,63,1185,245.7
3.225,run,928,52,1222,241.8,52,1192,245.9,56,1267,240.5,63,1177,249.8
