t_s,temp_c,sm_clk_mhz,power_w,util_pct,throttle_thermal,throttle_powercap,reasons_raw
0.0,82,135,55.3,0,0,0,1
0.087,82,135,55.3,0,0,0,1
0.151,82,135,55.2,0,0,0,1
0.208,82,135,55.2,0,0,0,1
0.27,82,135,55.2,0,0,0,1
0.33,82,135,55.2,0,0,0,1
0.389,82,135,55.1,0,0,0,1
0.45,82,135,55.2,0,0,0,1
0.509,82,135,55.2,0,0,0,1
0.575,82,135,55.2,0,0,0,1
0.631,82,135,55.2,0,0,0,1
0.693,82,135,55.2,0,0,0,1
0.754,82,135,55.2,0,0,0,1
0.812,82,135,55.2,0,0,0,1
0.872,82,135,55.2,0,0,0,1
0.933,82,135,55.2,0,0,0,1
0.992,82,135,55.2,0,0,0,1
1.053,82,135,55.2,0,0,0,1
1.111,82,135,55.3,0,0,0,1
1.173,82,135,55.2,0,0,0,1
1.233,82,135,55.2,0,0,0,1
1.293,82,135,55.2,0,0,0,1
1.355,82,135,55.2,0,0,0,1
1.414,82,135,55.2,0,0,0,1
1.475,82,135,55.3,0,0,0,1
1.536,82,135,55.2,0,0,0,1
1.595,82,135,55.2,0,0,0,1
1.656,82,135,55.3,0,0,0,1
1.717,82,135,55.3,0,0,0,1
1.78,82,135,55.2,0,0,0,1
1.837,82,135,55.3,0,0,0,1
1.898,82,135,55.3,0,0,0,1
1.958,82,135,55.2,0,0,0,1
2.018,82,135,55.2,0,0,0,1
2.079,82,135,55.2,0,0,0,1
2.139,82,135,55.2,0,0,0,1
2.198,82,135,55.2,0,0,0,1
2.259,82,135,55.2,0,0,0,1
2.32,82,135,55.2,0,0,0,1
2.381,82,135,55.2,0,0,0,1
2.44,82,135,55.2,0,0,0,1
2.501,82,135,55.2,0,0,0,1
2.562,82,135,55.2,0,0,0,1
2.621,82,135,55.2,0,0,0,1
2.681,82,135,55.3,0,0,0,1
2.742,82,135,55.3,0,0,0,1
2.803,82,135,55.2,0,0,0,1
2.862,82,135,55.2,0,0,0,1
2.924,82,135,55.3,0,0,0,1
2.985,82,135,55.2,0,0,0,1
3.044,82,135,55.2,0,0,0,1
3.105,82,135,55.2,0,0,0,1
3.165,82,135,55.2,0,0,0,1
3.225,82,135,55.2,0,0,0,1
3.284,82,135,55.2,0,0,0,1
3.346,82,135,55.2,0,0,0,1
3.405,82,135,55.2,0,0,0,1
3.464,82,135,55.2,0,0,0,1
3.527,82,135,55.2,0,0,0,1
3.591,82,135,55.2,0,0,0,1
3.647,82,135,55.2,0,0,0,1
3.707,82,135,55.2,0,0,0,1
3.771,82,135,55.2,0,0,0,1
3.828,82,135,55.2,0,0,0,1
3.888,82,135,55.2,0,0,0,1
3.951,82,135,55.2,0,0,0,1
4.01,82,135,55.2,0,0,0,1
4.07,82,135,55.2,0,0,0,1
4.132,82,135,55.3,0,0,0,1
4.19,82,135,55.2,0,0,0,1
4.25,82,135,55.2,0,0,0,1
4.31,82,135,55.2,0,0,0,1
4.372,82,135,55.3,0,0,0,1
4.433,82,135,55.2,0,0,0,1
4.492,82,135,55.2,0,0,0,1
4.554,82,135,55.2,0,0,0,1
4.612,82,135,55.2,0,0,0,1
4.673,82,135,55.2,0,0,0,1
4.735,82,135,55.2,0,0,0,1
4.794,82,135,55.2,0,0,0,1
4.855,82,135,55.2,0,0,0,1
4.914,82,135,55.2,0,0,0,1
4.974,82,135,55.3,0,0,0,1
5.036,82,135,55.2,0,0,0,1
5.095,82,135,55.2,0,0,0,1
5.16,82,135,55.3,0,0,0,1
5.218,82,135,55.2,0,0,0,1
5.277,82,135,55.2,0,0,0,1
5.338,82,135,55.2,0,0,0,1
5.397,82,135,55.2,0,0,0,1
5.459,82,135,55.2,0,0,0,1
5.518,82,135,55.2,0,0,0,1
5.58,82,135,55.1,0,0,0,1
5.639,82,135,55.2,0,0,0,1
5.697,82,135,55.2,0,0,0,1
5.761,82,135,55.3,0,0,0,1
5.819,82,135,55.2,0,0,0,1
5.881,82,135,55.2,0,0,0,1
5.941,82,135,55.3,0,0,0,1
6.001,82,135,55.3,0,0,0,1
6.062,82,135,55.1,0,0,0,1
6.121,82,135,55.2,0,0,0,1
6.183,82,135,55.3,0,0,0,1
6.243,82,135,55.2,0,0,0,1
6.303,82,135,55.2,0,0,0,1
6.364,82,135,55.2,0,0,0,1
6.423,82,135,55.2,0,0,0,1
6.482,82,135,55.2,0,0,0,1
6.545,82,135,55.2,0,0,0,1
6.605,82,135,55.2,0,0,0,1
6.665,82,135,55.2,0,0,0,1
6.727,82,135,55.2,0,0,0,1
6.787,82,135,55.2,0,0,0,1
6.844,82,135,55.1,0,0,0,1
6.907,82,135,55.2,0,0,0,1
6.967,82,135,55.2,0,0,0,1
7.027,82,135,55.3,0,0,0,1
7.087,82,135,55.2,0,0,0,1
7.148,82,135,55.2,0,0,0,1
7.209,82,135,55.2,0,0,0,1
7.269,82,135,55.2,0,0,0,1
7.33,82,135,55.2,0,0,0,1
7.39,82,135,55.2,0,0,0,1
7.45,82,135,55.2,0,0,0,1
7.51,82,135,55.2,0,0,0,1
7.571,82,135,55.2,0,0,0,1
7.633,82,135,55.3,0,0,0,1
7.69,82,135,55.2,0,0,0,1
7.753,82,135,55.3,0,0,0,1
7.813,82,135,55.3,0,0,0,1
7.874,82,135,55.2,0,0,0,1
7.934,82,135,55.2,0,0,0,1
7.994,82,135,55.3,0,0,0,1
8.054,82,135,55.3,0,0,0,1
8.112,82,135,55.2,0,0,0,1
8.175,82,135,55.2,0,0,0,1
8.235,82,135,55.2,0,0,0,1
8.294,82,135,55.2,0,0,0,1
8.355,82,135,55.2,0,0,0,1
8.414,82,135,55.2,0,0,0,1
8.475,82,135,55.2,0,0,0,1
8.538,82,135,55.2,0,0,0,1
8.597,82,135,55.2,0,0,0,1
8.659,82,135,55.3,0,0,0,1
8.718,82,135,55.3,0,0,0,1
8.78,82,135,55.2,0,0,0,1
8.84,82,135,55.3,0,0,0,1
8.899,82,135,55.3,0,0,0,1
8.959,82,135,55.2,0,0,0,1
9.018,82,135,55.3,0,0,0,1
9.08,82,135,55.2,0,0,0,1
9.141,82,135,55.2,0,0,0,1
9.201,82,135,55.2,0,0,0,1
9.277,82,135,55.2,0,0,0,1
9.333,82,135,55.2,0,0,0,1
9.389,82,135,55.2,0,0,0,1
9.443,82,135,55.2,0,0,0,1
9.501,82,135,55.3,0,0,0,1
9.565,82,135,55.2,0,0,0,1
9.624,82,135,55.2,0,0,0,1
9.686,82,135,55.2,0,0,0,1
9.747,82,135,55.2,0,0,0,1
9.807,82,135,55.2,0,0,0,1
9.867,82,135,55.2,0,0,0,1
9.926,82,135,55.2,0,0,0,1
9.99,82,135,55.2,0,0,0,1
10.049,82,135,55.2,0,0,0,1
10.11,82,135,55.2,0,0,0,1
10.169,82,135,55.2,0,0,0,1
10.229,82,135,55.3,0,0,0,1
10.292,82,135,55.2,0,0,0,1
10.351,82,135,55.2,0,0,0,1
10.412,82,135,55.2,0,0,0,1
10.475,82,135,55.2,0,0,0,1
10.531,82,135,55.3,0,0,0,1
10.594,82,135,55.3,0,0,0,1
10.653,82,135,55.2,0,0,0,1
10.713,82,135,55.2,0,0,0,1
10.775,82,135,55.3,0,0,0,1
10.834,82,135,55.3,0,0,0,1
10.896,82,135,55.2,0,0,0,1
10.955,82,135,55.2,0,0,0,1
11.017,82,135,55.2,0,0,0,1
11.077,82,135,55.2,0,0,0,1
11.135,82,135,55.2,0,0,0,1
11.199,82,135,55.2,0,0,0,1
11.258,82,135,55.3,0,0,0,1
11.319,82,135,55.2,0,0,0,1
11.379,82,135,55.2,0,0,0,1
11.438,82,135,55.2,0,0,0,1
11.5,82,135,55.2,0,0,0,1
11.56,82,135,55.2,0,0,0,1
11.623,82,135,55.3,0,0,0,1
11.681,82,135,55.2,0,0,0,1
11.741,82,135,55.2,0,0,0,1
11.805,82,135,55.3,0,0,0,1
11.873,82,135,55.2,0,0,0,1
11.927,82,135,55.2,0,0,0,1
11.98,82,135,55.2,0,0,0,1
12.042,82,135,55.2,0,0,0,1
12.104,82,135,55.2,0,0,0,1
12.164,82,135,55.2,0,0,0,1
12.226,82,135,55.2,0,0,0,1
12.285,82,135,55.2,0,0,0,1
12.345,82,135,55.2,0,0,0,1
12.406,82,135,55.2,0,0,0,1
12.466,82,135,55.3,0,0,0,1
12.526,82,135,55.2,0,0,0,1
12.587,82,135,55.2,0,0,0,1
12.648,82,135,55.2,0,0,0,1
12.707,82,135,55.3,0,0,0,1
12.768,82,135,55.2,0,0,0,1
12.828,82,135,55.2,0,0,0,1
12.889,82,135,55.2,0,0,0,1
12.951,82,135,55.2,0,0,0,1
13.009,82,135,55.2,0,0,0,1
13.072,82,135,55.2,0,0,0,1
13.133,82,135,55.3,0,0,0,1
13.191,82,135,55.2,0,0,0,1
13.25,82,135,55.2,0,0,0,1
13.311,82,135,55.2,0,0,0,1
13.372,82,135,55.3,0,0,0,1
13.434,82,135,55.2,0,0,0,1
13.492,82,135,55.2,0,0,0,1
13.555,82,135,55.3,0,0,0,1
13.616,82,135,55.2,0,0,0,1
13.677,82,135,55.2,0,0,0,1
13.735,82,135,55.2,0,0,0,1
13.797,82,135,55.2,0,0,0,1
13.857,82,135,55.2,0,0,0,1
13.917,82,135,55.2,0,0,0,1
13.978,82,135,55.2,0,0,0,1
14.039,82,135,55.2,0,0,0,1
14.099,82,135,55.2,0,0,0,1
14.159,82,135,55.2,0,0,0,1
14.22,82,135,55.2,0,0,0,1
14.281,82,135,55.3,0,0,0,1
14.34,82,135,55.3,0,0,0,1
14.401,82,135,55.3,0,0,0,1
14.46,82,135,55.2,0,0,0,1
14.522,82,135,55.2,0,0,0,1
14.583,82,135,55.2,0,0,0,1
14.643,82,135,55.2,0,0,0,1
14.702,82,135,55.2,0,0,0,1
14.763,82,135,55.2,0,0,0,1
14.824,82,135,55.2,0,0,0,1
14.898,82,135,55.2,0,0,0,1
14.951,82,135,55.2,0,0,0,1
15.006,82,135,55.2,0,0,0,1
15.608,82,135,55.2,0,0,0,1
15.686,82,135,55.2,0,0,0,1
15.754,82,135,55.2,0,0,0,1
15.852,82,135,55.3,0,0,0,1
15.913,82,135,55.2,0,0,0,1
15.972,82,135,55.2,0,0,0,1
16.06,82,135,55.3,0,0,0,1
16.17,82,135,55.2,0,0,0,1
16.228,82,135,55.2,0,0,0,1
16.288,82,135,55.2,0,0,0,1
16.342,82,135,55.3,0,0,0,1
16.398,82,135,55.2,0,0,0,1
16.461,82,135,55.2,0,0,0,1
16.526,82,135,55.2,0,0,0,1
16.608,82,135,55.3,0,0,0,1
16.72,82,135,55.2,0,0,0,1
16.819,82,135,55.2,0,0,0,1
16.877,82,135,55.2,0,0,0,1
16.998,82,135,55.2,0,0,0,1
17.058,82,135,55.3,0,0,0,1
17.119,82,135,55.2,0,0,0,1
17.178,82,135,55.2,0,0,0,1
17.252,82,135,55.2,0,0,0,1
17.306,82,135,55.2,0,0,0,1
17.361,82,135,55.2,0,0,0,1
17.42,82,135,55.2,0,0,0,1
17.482,82,135,55.2,0,0,0,1
17.54,82,135,55.2,0,0,0,1
17.6,82,135,55.2,0,0,0,1
17.662,82,135,55.3,0,0,0,1
17.721,82,135,55.2,0,0,0,1
17.781,82,135,55.2,0,0,0,1
17.843,82,135,55.2,0,0,0,1
17.902,82,135,55.2,0,0,0,1
17.963,82,135,55.2,0,0,0,1
18.023,82,135,55.2,0,0,0,1
18.083,82,135,55.2,0,0,0,1
18.143,82,135,55.1,0,0,0,1
18.21,82,135,55.2,0,0,0,1
18.264,82,135,55.2,0,0,0,1
18.325,82,135,55.2,0,0,0,1
18.385,82,135,55.2,0,0,0,1
18.449,82,135,55.2,0,0,0,1
18.51,82,135,55.2,0,0,0,1
18.565,82,135,55.2,0,0,0,1
18.626,82,135,55.2,0,0,0,1
18.685,82,135,55.2,0,0,0,1
18.81,82,135,55.3,0,0,0,1
18.868,82,135,55.2,0,0,0,1
18.927,82,135,55.2,0,0,0,1
18.988,82,135,55.2,0,0,0,1
19.047,82,135,55.2,0,0,0,1
19.109,82,135,55.2,0,0,0,1
19.181,82,135,55.1,0,0,0,1
