platform,klass,token_share,racks_tdp,racks_cap,rack_tok_s_tdp,rack_tok_s_cap
V100,推理,0.1229,41,42,3774.9,5800.3
V100,助手API,0.0227,1,1,63200.3,93306.1
V100,多模态图文,0.017,1,1,37686.7,56587.4
V100,对话,0.1638,2,3,108961.6,143071.5
V100,长上下文对话,0.1555,7,7,31485.7,48304.0
V100,Agentic工具调用,0.3033,73,70,5244.2,8594.3
V100,代码补全,0.2149,3,4,91937.2,124399.1
V100,TOTAL,1.0,128,128,1259391.3,1982308.0
RTX 5090,推理,0.1229,66,66,6278.8,8927.5
RTX 5090,助手API,0.0227,1,1,203798.7,274637.1
RTX 5090,多模态图文,0.017,1,1,71399.8,95797.7
RTX 5090,对话,0.1638,3,3,229608.1,308466.7
RTX 5090,长上下文对话,0.1555,6,6,95467.0,131073.6
RTX 5090,Agentic工具调用,0.3033,45,45,22968.7,31845.0
RTX 5090,代码补全,0.2149,6,6,142744.0,190977.1
RTX 5090,TOTAL,1.0,128,128,3372034.3,4725488.9
H200,推理,0.1229,61,59,7887.1,10225.2
H200,助手API,0.0227,1,1,231234.6,284023.9
H200,多模态图文,0.017,1,1,81876.6,101062.7
H200,对话,0.1638,3,3,289113.4,338388.3
H200,长上下文对话,0.1555,6,6,112178.8,132712.4
H200,Agentic工具调用,0.3033,51,53,23235.9,28064.3
H200,代码补全,0.2149,5,5,191747.2,218353.3
H200,TOTAL,1.0,128,128,3907713.0,4904819.9
