device,klass,policy,w_token_share,f_rack_share,kappa,m_gpus,X_tok_s,P_w,K_usd,D_usd_yr,E_usd_yr,M_usd_yr,C_usd_yr,Q_tok_yr,pi_usd_mtok,R0_usd_yr,rho0_usd_yr,Phi_n_usd,ROI_n,T_pb_yr,c_tok_usd_mtok,gross_margin
V100,MIXED cluster/1MW,CAP,1.0,1.0,7.49,6400,13485869.5,960953,16000000,3200000,925974,640000,4765974,4.253e+14,0.406,172676655,167910681,312776046,19.549,0.1,0.0112,0.972
V100,MIXED cluster/1MW,TDP,1.0,1.0,7.49,4000,9215969.6,881234,10000000,2000000,849157,400000,3249157,2.906e+14,0.406,118003723,114754566,213783871,21.378,0.09,0.0112,0.972
V100,Generation 创作生成,CAP,0.0006,0.0125,0.09,32,3456.0,4847,80000,16000,4671,3200,23871,1.09e+11,1.1257,122687,98816,119806,1.498,0.86,0.219,0.805
V100,Generation 创作生成,TDP,0.0006,0.0131,0.09,20,2248.4,4283,50000,10000,4127,2000,16127,7.091e+10,1.1257,79818,63691,74958,1.499,0.83,0.2274,0.798
V100,General QA 常识问答,CAP,0.0013,0.0254,0.12,32,3551.2,4847,80000,16000,4671,3200,23871,1.12e+11,1.1036,123590,99719,121566,1.52,0.85,0.2131,0.807
V100,General QA 常识问答,TDP,0.0013,0.0266,0.12,20,2310.3,4286,50000,10000,4130,2000,16130,7.286e+10,1.1036,80404,64273,76083,1.522,0.83,0.2214,0.799
V100,Brainstorming 头脑风暴,CAP,0.0007,0.0123,0.15,32,3646.3,4847,80000,16000,4671,3200,23871,1.15e+11,1.0826,124489,100618,123319,1.541,0.84,0.2076,0.808
V100,Brainstorming 头脑风暴,TDP,0.0007,0.0129,0.15,20,2372.2,4282,50000,10000,4126,2000,16126,7.481e+10,1.0826,80990,64864,77246,1.545,0.82,0.2156,0.801
V100,Open QA 开放问答,CAP,0.0012,0.0214,0.16,32,3678.0,4847,80000,16000,4671,3200,23871,1.16e+11,1.0759,124789,100918,123903,1.549,0.84,0.2058,0.809
V100,Open QA 开放问答,TDP,0.0012,0.0225,0.16,20,2392.8,4281,50000,10000,4125,2000,16125,7.546e+10,1.0759,81184,65059,77632,1.553,0.81,0.2137,0.801
V100,Classification 分类,CAP,0.0006,0.0013,0.84,32,28964.4,4980,80000,16000,4799,3200,23999,9.134e+11,0.7891,720809,696810,1285109,16.064,0.12,0.0263,0.967
V100,Classification 分类,TDP,0.0006,0.0014,0.84,20,19535.6,4360,50000,10000,4201,2000,16201,6.161e+11,0.7891,486163,469962,866694,17.334,0.11,0.0263,0.967
V100,Summarization 摘要,CAP,0.0023,0.2422,2.3,32,651.4,4326,80000,16000,4169,3200,23369,2.054e+10,0.5727,11765,-11603,-93908,-1.174,,1.1376,-0.986
V100,Summarization 摘要,TDP,0.0023,0.2686,2.3,20,401.3,3896,50000,10000,3754,2000,15754,1.266e+10,0.5727,7248,-8506,-64642,-1.293,,1.2449,-1.174
V100,Extract 信息抽取,CAP,0.0024,0.0098,3.06,32,16140.1,4830,80000,16000,4654,3200,23854,5.09e+11,0.5217,265529,241675,398337,4.979,0.34,0.0469,0.91
V100,Extract 信息抽取,TDP,0.0024,0.0106,3.06,20,10265.6,3155,50000,10000,3040,2000,15040,3.237e+11,0.5217,168885,153845,254015,5.08,0.33,0.0465,0.911
V100,Chat 多轮对话,CAP,0.6391,0.4558,4.93,32,94532.6,4956,80000,16000,4776,3200,23976,2.981e+12,0.4518,1346810,1322834,2505515,31.319,0.06,0.008,0.982
V100,Chat 多轮对话,TDP,0.6391,0.4342,4.93,20,67823.6,4643,50000,10000,4474,2000,16474,2.139e+12,0.4518,966286,949811,1801250,36.025,0.06,0.0077,0.983
V100,Closed QA 闭卷问答,CAP,0.0027,0.0041,6.18,32,44408.5,4962,80000,16000,4781,3200,23981,1.4e+12,0.4253,595686,571704,1041289,13.016,0.14,0.0171,0.96
V100,Closed QA 闭卷问答,TDP,0.0027,0.0041,6.18,20,29872.4,4623,50000,10000,4455,2000,16455,9.421e+11,0.4253,400702,384247,698829,13.977,0.13,0.0175,0.959
V100,Code 代码补全,CAP,0.3492,0.2151,73.45,32,109443.1,5004,80000,16000,4822,3200,24022,3.451e+12,0.3121,1077142,1053120,1979609,24.745,0.08,0.007,0.978
V100,Code 代码补全,TDP,0.3492,0.2059,73.45,20,78146.3,4677,50000,10000,4507,2000,16507,2.464e+12,0.3121,769118,752611,1416741,28.335,0.07,0.0067,0.979
H200,MIXED cluster/1MW,CAP,1.0,1.0,7.49,2286,12794633.3,990456,61714286,12342857,954403,2468571,15765832,4.035e+14,0.406,163825883,148060051,240523571,3.897,0.43,0.0391,0.904
H200,MIXED cluster/1MW,TDP,1.0,1.0,7.49,1429,8992631.0,978165,38571429,7714286,942560,1542857,10199703,2.836e+14,0.406,115144036,104944333,173456631,4.497,0.38,0.036,0.911
H200,Generation 创作生成,CAP,0.0006,0.0165,0.09,32,6951.3,13847,864000,172800,13343,34560,220703,2.192e+11,1.1257,246769,26066,-622477,-0.72,,1.0068,0.106
H200,Generation 创作生成,TDP,0.0006,0.017,0.09,20,4738.3,13814,540000,108000,13311,21600,142911,1.494e+11,1.1257,168208,25297,-386662,-0.716,,0.9564,0.15
H200,General QA 常识问答,CAP,0.0013,0.0335,0.12,32,7142.6,13847,864000,172800,13343,34560,220703,2.252e+11,1.1036,248578,27875,-618950,-0.716,,0.9798,0.112
H200,General QA 常识问答,TDP,0.0013,0.0345,0.12,20,4868.7,13792,540000,108000,13290,21600,142890,1.535e+11,1.1036,169442,26551,-384152,-0.711,,0.9306,0.157
H200,Brainstorming 头脑风暴,CAP,0.0007,0.0163,0.15,32,7333.9,13847,864000,172800,13343,34560,220703,2.313e+11,1.0826,250388,29685,-615423,-0.712,,0.9543,0.119
H200,Brainstorming 头脑风暴,TDP,0.0007,0.0168,0.15,20,4999.2,13810,540000,108000,13307,21600,142907,1.577e+11,1.0826,170678,27771,-381826,-0.707,,0.9065,0.163
H200,Open QA 开放问答,CAP,0.0012,0.0283,0.16,32,7397.7,13847,864000,172800,13343,34560,220703,2.333e+11,1.0759,250992,30289,-614245,-0.711,,0.946,0.121
H200,Open QA 开放问答,TDP,0.0012,0.0292,0.16,20,5042.6,13815,540000,108000,13312,21600,142912,1.59e+11,1.0759,171087,28175,-381055,-0.706,,0.8987,0.165
